region_name,major_division,,
GPl,CNU,,
GPm,CNU,,
STN,HY,,
SNr,MB,,
SNc,MB,,
CP,CNU,,
CL,TH,,
MOp,CTX,,
VAL,TH,,
ACAd,CTX,,
AMv,TH,,
MDl,TH,,
IAD,TH,,
MOs,CTX,,
VM,TH,,
PCN,TH,,
PBli,P,,
CLA,CTX,,
ORBl,CTX,,
REc,TH,,
MDc,TH,,
SMT,TH,,
RT,TH,,
IAM,TH,,
MA,CNU,,
ORBm,CTX,,
PT,TH,,
ORBvl,CTX,,
ORBv,CTX,,
PR,TH,,
SSp,CTX,,
VPMpr,TH,,
VPLpr,TH,,
GU,CTX,,
VPMpc,TH,,
VISC,CTX,,
VPLpc,TH,,
MGm,TH,,
ACB,CNU,,
FS,CNU,,
PERI,CTX,,
AIp,CTX,,
AId,CTX,,
BLAa,CTX,,
RH,TH,,
IMD,TH,,
CM,TH,,
PL,CTX,,
MDm,TH,,
OT,CNU,,
AIv,CTX,,
ENTl,CTX,,
TTd,CTX,,
MOB,CTX,,
AOA,CTX,,
TTv,CTX,,
EPd,CTX,,
PIR,CTX,,
EPv,CTX,,
NLOT,CTX,,
TR,CTX,,
BLAp,CTX,,
LA,CTX,,
IG,CTX,,
ENTm,CTX,,
DG,CTX,,
FC,CTX,,
CA1d,CTX,,
SUBd,CTX,,
CA3,CTX,,
CA2,CTX,,
AAA,CNU,,
BA,CNU,,
MEAad,CNU,,
ILA,CTX,,
COAa,CTX,,
BMAa,CTX,,
PAA,CTX,,
COApl,CTX,,
COApm,CTX,,
AOB,CTX,,
BMAp,CTX,,
CA1v,CTX,,
LC,P,,
VISam,CTX,,
VISlla,CTX,,
VISrl,CTX,,
VISlm,CTX,,
VISli,CTX,,
VISal,CTX,,
VISpl,CTX,,
VISll,CTX,,
VISp,CTX,,
VISpm,CTX,,
LGd,TH,,
TEa,CTX,,
AUDpo,CTX,,
AUDd,CTX,,
AUDv,CTX,,
AUDp,CTX,,
MGd,TH,,
MGv,TH,,
SAG,MB,,
ICd,MB,,
ICe,MB,,
6b,CTX,,
PTLp,CTX,,
ECT,CTX,,
LP,TH,,
SSs,CTX,,
PO,TH,,
POL,TH,,
SGN,TH,,
NB,MB,,
RSPagl,CTX,,
PAR,CTX,,
POST,CTX,,
RSPv.b/c,CTX,,
RSPv.a,CTX,,
PRE,CTX,,
RSPv,CTX,,
ACAv,CTX,,
RSPd,CTX,,
AD,TH,,
LD,TH,,
AV,TH,,
AMd,TH,,
MM,HY,,
AT,MB,,
VTN,P,,
BSTif,CNU,,
LHAjvv,HY,,
LHAjvd,HY,,
I,HY,,
VMHvl,HY,,
BSTtr,CNU,,
MEApv,CNU,,
MEAav,CNU,,
SBPV,HY,,
VMHc,HY,,
VMHdm,HY,,
AHNc,HY,,
AHNa,HY,,
PMd,HY,,
AHNp,HY,,
VMHa,HY,,
RCH,HY,,
SPFm,TH,,
PAGm,MB,,
PAGdm,MB,,
PRC,MB,,
PBls,P,,
PAGrn,MB,,
PAGl,MB,,
LSr.m.d,CNU,,
LSr.dl,CNU,,
BAC,CNU,,
LSr.vl,CNU,,
PH,HY,,
LHAjd,HY,,
LHAjp,HY,,
AHNd,HY,,
LSr.m.v,CNU,,
SUBv,CTX,,
REr,TH,,
PPT,MB,,
SPFp,TH,,
PP,TH,,
PAGdl,MB,,
MPT,MB,,
IA,CNU,,
MS,CNU,,
LHAsfa,HY,,
LHAa,HY,,
LPO,HY,,
LSc.v,CNU,,
LSc.d,CNU,,
NDB,CNU,,
SH,CNU,,
SF,CNU,,
BSTd,CNU,,
BSTpr,CNU,,
MEApd,CNU,,
LSv,CNU,,
PA,CTX,,
SCH,HY,,
AHA,HY,,
TU,HY,,
MPNl,HY,,
PMv,HY,,
MPNc,HY,,
AVPV,HY,,
PVHam,HY,,
MPNm,HY,,
ARH,HY,,
BSTv,CNU,,
BSTmg,CNU,,
BSTdm,CNU,,
PVHd,HY,,
B,P,,
OV,HY,,
SFO,HY,,
SO,HY,,
PVHpm,HY,,
VLP,HY,,
MEPO,HY,,
PS,HY,,
AVP,HY,,
PVHap,HY,,
DMHa,HY,,
PVp,HY,,
PD,HY,,
DMHp,HY,,
PSCH,HY,,
PVa,HY,,
DMHv,HY,,
PVHpv,HY,,
ADP,HY,,
PVHmpd,HY,,
LHAsfp,HY,,
MPO,HY,,
SUMl,HY,,
TM,HY,,
SUMm,HY,,
PBlex,P,,
BSTov,CNU,,
PBle,P,,
AP,MY,,
CEAl,CNU,,
PBlc,P,,
BSTrh,CNU,,
BSTfu,CNU,,
BSTal,CNU,,
CEAm,CNU,,
LHAv,HY,,
PST,HY,,
PBmv,P,,
PBmm,P,,
LHAd,HY,,
LTN,P,,
PSTN,HY,,
DMX,MY,,
NIS,MY,,
NTSmcg,MY,,
SI,CNU,,
BSTam,CNU,,
LHAs,HY,,
PAGvl,MB,,
CUN,MB,,
PBlv,P,,
CEAc,CNU,,
PBme,P,,
PBld,P,,
BSTse,CNU,,
BSTju,CNU,,
PVT,TH,,
MRNp,MB,,
RR,MB,,
LH,TH,,
CS,MB,,
DR,MB,,
RPO,P,,
NI,P,,
PCG,P,,
IF,MB,,
CLI,MB,,
VTA,MB,,
PAGvm,MB,,
LDT,P,,
R,HY,,
IGL,TH,,
MT,MB,,
DT,MB,,
LT,MB,,
PBG,MB,,
LHAp,HY,,
PF,TH,,
MRNm,MB,,
PPN,P,,
ZI,TH,,
COM,MB,,
LGv,TH,,
SC,MB,,
APN,MB,,
CU,MY,,
GPl,CNU,,
GPm,CNU,,
STN,HY,,
SNr,MB,,
SNc,MB,,
CP,CNU,,
CL,TH,,
MOp,CTX,,
VAL,TH,,
ACAd,CTX,,
AMv,TH,,
MDl,TH,,
IAD,TH,,
MOs,CTX,,
VM,TH,,
PCN,TH,,
PBli,P,,
CLA,CTX,,
ORBl,CTX,,
REc,TH,,
MDc,TH,,
SMT,TH,,
RT,TH,,
IAM,TH,,
MA,CNU,,
ORBm,CTX,,
PT,TH,,
ORBvl,CTX,,
ORBv,CTX,,
PR,TH,,
SSp,CTX,,
VPMpr,TH,,
VPLpr,TH,,
GU,CTX,,
VPMpc,TH,,
VISC,CTX,,
VPLpc,TH,,
MGm,TH,,
ACB,CNU,,
FS,CNU,,
PERI,CTX,,
AIp,CTX,,
AId,CTX,,
BLAa,CTX,,
RH,TH,,
IMD,TH,,
CM,TH,,
PL,CTX,,
MDm,TH,,
OT,CNU,,
AIv,CTX,,
ENTl,CTX,,
TTd,CTX,,
MOB,CTX,,
AOA,CTX,,
TTv,CTX,,
EPd,CTX,,
PIR,CTX,,
EPv,CTX,,
NLOT,CTX,,
TR,CTX,,
BLAp,CTX,,
LA,CTX,,
IG,CTX,,
ENTm,CTX,,
DG,CTX,,
FC,CTX,,
CA1d,CTX,,
SUBd,CTX,,
CA3,CTX,,
CA2,CTX,,
AAA,CNU,,
BA,CNU,,
MEAad,CNU,,
ILA,CTX,,
COAa,CTX,,
BMAa,CTX,,
PAA,CTX,,
COApl,CTX,,
COApm,CTX,,
AOB,CTX,,
BMAp,CTX,,
CA1v,CTX,,
LC,P,,
VISam,CTX,,
VISlla,CTX,,
VISrl,CTX,,
VISlm,CTX,,
VISli,CTX,,
VISal,CTX,,
VISpl,CTX,,
VISll,CTX,,
VISp,CTX,,
VISpm,CTX,,
LGd,TH,,
TEa,CTX,,
AUDpo,CTX,,
AUDd,CTX,,
AUDv,CTX,,
AUDp,CTX,,
MGd,TH,,
MGv,TH,,
SAG,MB,,
ICd,MB,,
ICe,MB,,
6b,CTX,,
PTLp,CTX,,
ECT,CTX,,
LP,TH,,
SSs,CTX,,
PO,TH,,
POL,TH,,
SGN,TH,,
NB,MB,,
RSPagl,CTX,,
PAR,CTX,,
POST,CTX,,
RSPv.b/c,CTX,,
RSPv.a,CTX,,
PRE,CTX,,
RSPv,CTX,,
ACAv,CTX,,
RSPd,CTX,,
AD,TH,,
LD,TH,,
AV,TH,,
AMd,TH,,
MM,HY,,
AT,MB,,
VTN,P,,
BSTif,CNU,,
LHAjvv,HY,,
LHAjvd,HY,,
I,HY,,
VMHvl,HY,,
BSTtr,CNU,,
MEApv,CNU,,
MEAav,CNU,,
SBPV,HY,,
VMHc,HY,,
VMHdm,HY,,
AHNc,HY,,
AHNa,HY,,
PMd,HY,,
AHNp,HY,,
VMHa,HY,,
RCH,HY,,
SPFm,TH,,
PAGm,MB,,
PAGdm,MB,,
PRC,MB,,
PBls,P,,
PAGrn,MB,,
PAGl,MB,,
LSr.m.d,CNU,,
LSr.dl,CNU,,
BAC,CNU,,
LSr.vl,CNU,,
PH,HY,,
LHAjd,HY,,
LHAjp,HY,,
AHNd,HY,,
LSr.m.v,CNU,,
SUBv,CTX,,
REr,TH,,
PPT,MB,,
SPFp,TH,,
PP,TH,,
PAGdl,MB,,
MPT,MB,,
IA,CNU,,
MS,CNU,,
LHAsfa,HY,,
LHAa,HY,,
LPO,HY,,
LSc.v,CNU,,
LSc.d,CNU,,
NDB,CNU,,
SH,CNU,,
SF,CNU,,
BSTd,CNU,,
BSTpr,CNU,,
MEApd,CNU,,
LSv,CNU,,
PA,CTX,,
SCH,HY,,
AHA,HY,,
TU,HY,,
MPNl,HY,,
PMv,HY,,
MPNc,HY,,
AVPV,HY,,
PVHam,HY,,
MPNm,HY,,
ARH,HY,,
BSTv,CNU,,
BSTmg,CNU,,
BSTdm,CNU,,
PVHd,HY,,
B,P,,
OV,HY,,
SFO,HY,,
SO,HY,,
