,SI,MS,NDB,BSTam,BSTfu,BSTv,BSTal,BSTov,BSTpr,BSTif,BSTtr,OT,ACB,LSr.m.v,LSr.m.d,LSr.vl,LSr.dl,LSc.v,LSc.d,SF,FS,CP,AAA,CEAc,IA,MEAad,MEApd,AOA,TTv,TTd,PIR,COAa,COApm,COApl,NLOT,PAA,TR,ENTm,ENTl,ILA,PL,ACAv,ACAd,RSPv,RSPv.a,RSPv.b/c,RSPd,RSPagl,AIv,AId,AIp,ORBv,ORBm,MOs,PTLp,PERI,ECT,VISp,VISpm,BMAa,BMAp,BLAa,BLAp,LA,PA,EPv,EPd,CLA,AVPV,I,AVP,MPO,VLP,SBPV,AHA,DMHa,PH,MPNl,AHNa,AHNc,AHNp,VMHvl,VMHc,PMv,PMd,TM,MM,LM,SUMl,LPO,RCH,LHAa,LHAjvv,LHAjvd,LHAjp,LHAjd,LHAsfp,LHAs,TU,ZI,RT,REr,REc,PVT,PT,AV,AD,IAM,LD,VTA,PAGrn,DTN
SI,1.0,0.5074148233194891,0.46065343970487876,0.772539303936907,0.9302605094190632,0.9302605094190632,0.8716936997543171,0.9302605094190632,0.8716936997543171,0.9302605094190632,0.9302605094190632,0.9078412990032037,0.7585875554422662,0.9256438034556579,0.13074409009212265,0.6502179046647996,0.8396071825974649,0.37610409515247323,0.20219057313792713,0.7269090980363719,0.7329325225725953,0.8878767651128605,0.8119979429411501,0.8389268599898231,0.7458677371482704,0.9078412990032037,0.9302605094190632,0.9302605094190632,0.8859623899229173,0.7029327325560875,0.9186172406951716,0.9186172406951716,0.9078412990032037,0.9231645971924342,0.9302605094190632,0.9186172406951717,0.8637251994466476,0.22099784804393197,0.28837490036423613,0.5345489080522581,0.6909801595573182,0.43988879279187043,0.8859623899229173,-0.39442966713513744,-0.16792143651949304,9.426946704301726e-18,-0.28790839981554917,0.0968548555282574,0.7479575920067657,0.7479575920067657,0.8716936997543171,0.6766649524509584,0.46812532915073773,0.4842742776412874,0.13533299049019168,0.2646885933936158,-0.024121960183814004,-0.17719247798458349,-0.15668413501991652,0.8389268599898231,0.9268391645827256,0.8716936997543171,0.8716936997543171,0.8716936997543171,0.772539303936907,0.9302605094190632,0.9302605094190632,0.9186172406951716,0.8716936997543171,0.712822374419838,0.7399400733959437,0.7399400733959437,0.310086836473021,0.712822374419838,0.8119979429411502,0.772539303936907,0.9078412990032037,0.8119979429411502,0.8716936997543171,0.8878767651128605,0.8389268599898231,0.8119979429411502,0.8119979429411502,0.772539303936907,0.8716936997543171,0.9302605094190632,0.3648781915578899,-0.44796082007366467,0.7479575920067657,0.9302605094190632,0.9078412990032037,0.8513824469684098,0.8513824469684097,0.8654707925179593,0.5848976518656018,0.22045848606429994,0.846153846153846,0.5384615384615384,0.8716936997543171,0.8513824469684098,4.707827130385763e-17,0.5783149319662402,0.04098222985952965,0.7458677371482704,0.5384615384615384,-0.3944296671351374,-0.36559631504647194,0.10336227882434036,-0.3089463881942419,0.6471502289294339,0.9302605094190632,0.3100868364730211
MS,0.5074148233194891,1.0,0.9622394796447233,-0.03774794538806367,0.3636363636363636,0.3636363636363636,0.127778532454314,0.3636363636363636,0.5537069739686942,0.3636363636363636,0.3636363636363636,0.48795003647426655,0.46862308493637483,0.28041957178645144,0.43121968093205176,0.4845086132393028,0.19199712801710375,0.5864017093739695,0.8087051697366443,0.6545525346544295,0.4214876033057851,0.31389298876115707,0.6149776906650695,0.06441566264008307,-0.07288942961247939,0.2217954711246666,0.3636363636363636,0.3636363636363636,0.35064935064935054,0.4826631707108957,0.45526853387236793,0.45526853387236793,0.48795003647426655,0.28568288405398506,0.3636363636363636,0.26290154772911384,0.4304755566831656,0.15387768473745642,0.19022340885352246,0.5853777824868274,0.6246115920500834,0.6519822451614378,0.5454545454545453,-0.019272688727388396,-0.29045719366690054,-0.12681560590234836,0.21945812693651576,-0.29814990906006617,0.7126631780928958,0.7126631780928958,0.5537069739686942,0.17854191019308466,0.20586256702474595,0.5537069739686942,0.1785419101930846,0.7039387875264629,0.32177179810991663,-0.16883116883116886,-0.14546260454785329,0.591452902422581,0.3100443100286449,0.5537069739686942,0.127778532454314,0.5537069739686942,-0.03774794538806367,0.3636363636363636,0.3636363636363636,0.45526853387236793,0.127778532454314,-0.11319765188977245,0.1479071303309019,0.1479071303309019,0.818181818181818,-0.11319765188977245,0.019837990021453828,-0.03774794538806367,0.2217954711246666,0.019837990021453828,0.127778532454314,0.46701151986416045,0.06441566264008307,0.019837990021453828,0.019837990021453828,-0.03774794538806367,0.127778532454314,0.3636363636363636,0.42788974939240154,-0.35021339079496494,0.3015113445777636,0.3636363636363636,0.2217954711246666,0.33874605160231785,0.6061771449725688,0.49120043778018857,0.42869051142864323,0.14003703507182363,0.5074148233194892,0.3946559736929359,0.127778532454314,0.33874605160231785,-0.27773186030035396,0.25431949315644914,-0.2583199983597169,-0.07288942961247939,0.3946559736929359,-0.11563613236433017,-0.3751404012023585,0.5151515151515151,-0.3170115978944573,0.2032789070454354,0.3636363636363636,0.13636363636363633
NDB,0.46065343970487876,0.9622394796447233,1.0,-0.077105792327579,0.32496684180984076,0.32496684180984076,0.0870022185848612,0.32496684180984076,0.5220133115091674,0.32496684180984076,0.32496684180984076,0.45305023518296866,0.45427975675133386,0.2217285210417449,0.5872202195147035,0.5597375574257506,0.23128722612533778,0.5528366312436028,0.838923331091211,0.7047862092978369,0.37139067635410367,0.34404410871358243,0.5875696513930031,0.02392337651569818,-0.11166562507172967,0.18122009407318743,0.32496684180984076,0.32496684180984076,0.30507091271944226,0.5317274469133195,0.4191340565394025,0.4191340565394025,0.45305023518296866,0.2457051694416012,0.32496684180984076,0.2226649675365576,0.3793103448275862,0.09098680561400185,0.3453863134210764,0.6496437896668512,0.6551724137931033,0.7610118277186022,0.5040302036234264,0.06889283267815866,-0.2815670578917156,-0.14031318982731233,0.25,-0.05800147905657417,0.671871013147025,0.671871013147025,0.5220133115091674,0.32417635938924305,0.2903486276554365,0.6670170091506028,0.12156613477096613,0.6680006309644103,0.2672403275429079,-0.2254871963578487,-0.20329879151257144,0.5621993481189084,0.2704027111715449,0.5220133115091674,0.0870022185848612,0.5220133115091674,-0.077105792327579,0.32496684180984076,0.32496684180984076,0.4191340565394025,0.0870022185848612,-0.15118429455665938,0.10070743681384509,0.10070743681384509,0.7892051872524704,-0.15118429455665938,-0.020261022461827725,-0.077105792327579,0.18122009407318743,-0.020261022461827725,0.0870022185848612,0.4222359516030329,0.02392337651569818,-0.020261022461827725,-0.020261022461827725,-0.077105792327579,0.0870022185848612,0.32496684180984076,0.38238744638284566,-0.42474674230940107,0.25195162993013437,0.32496684180984076,0.18122009407318743,0.2913428162916919,0.564476706565153,0.4451950089168809,0.5388702304143923,0.2420393211370654,0.4606534397048788,0.3454900797786591,0.0870022185848612,0.2913428162916919,-0.3241763593892431,0.17316179571791196,-0.25769296031890737,-0.11166562507172967,0.3454900797786591,-0.17715299831526513,-0.43787432018092315,0.479712956957384,-0.3700247626557984,0.27681826617913324,0.32496684180984076,0.09284766908852593
BSTam,0.772539303936907,-0.03774794538806367,-0.077105792327579,1.0,0.8304547985373996,0.8304547985373996,0.9727143747452264,0.8304547985373996,0.5836286248471358,0.8304547985373996,0.8304547985373996,0.6888747637021416,0.7618503126735388,0.8676500797997097,0.04376881095324084,0.6167359674023882,0.9219187981603674,-0.1144611377696926,-0.21272974802614036,0.25493306778732244,0.792706853149336,0.8042744695392571,0.45305023518296855,0.989644478597831,0.9987677136415695,0.9320070332440737,0.8304547985373996,0.8304547985373996,0.8897729984329281,0.6688005282003335,0.7321970641463629,0.7321970641463629,0.6888747637021416,0.8927968746036021,0.8304547985373996,0.9079243595414899,0.732505027112,0.036991396801539636,0.09653840941344684,0.3578987025006686,0.5397405462930527,0.03272450343192601,0.7118183987463425,-0.2640840977672257,0.15740077041762365,0.28961522824034064,-0.23131737698273683,0.3242381249150755,0.5007830858361343,0.5007830858361343,0.5836286248471358,0.6342703292561561,0.6716268295979291,0.06484762498301508,-0.09061004703659371,0.12658430676687898,-0.048451422057993375,-0.1779545996865856,-0.17484227598679503,0.5081958133340212,0.875135168194471,0.5836286248471358,0.9727143747452264,0.5836286248471358,1.0,0.8304547985373996,0.8304547985373996,0.7321970641463629,0.9727143747452264,0.9942892934089465,0.9457924331331944,0.9457924331331944,-1.2869444283859726e-17,0.9942892934089465,0.996710517402531,1.0,0.9320070332440737,0.996710517402531,0.9727143747452264,0.8042744695392571,0.989644478597831,0.996710517402531,0.996710517402531,1.0,0.9727143747452264,0.8304547985373996,0.4885967564883422,-0.2999250281132863,0.8763704002132351,0.8304547985373996,0.9320070332440737,0.8957607202286274,0.6514623419844562,0.7874742398303559,0.5723514714723391,0.4756143904066975,0.772539303936907,0.6695340634119862,0.9727143747452264,0.8957607202286274,0.1812200940731875,0.6969627833961296,0.4115849832830234,0.9987677136415695,0.6695340634119862,-0.26408409776722563,-0.24477918638151303,0.1384091330895666,-0.20685013066414767,0.8046797987672247,0.8304547985373996,0.6228410989030496
BSTfu,0.9302605094190632,0.3636363636363636,0.32496684180984076,0.8304547985373996,1.0,1.0,0.9370425713316365,1.0,0.9370425713316365,1.0,1.0,0.9759000729485331,0.8518614552445118,0.8955334711889901,0.1317615691736825,0.6771206439123044,0.8664485777182116,0.027565892320998587,-0.04657464328326221,0.4744237363580554,0.8181818181818181,0.9684747092264969,0.8728715609439696,0.9018192769611633,0.8017837257372732,0.9759000729485331,1.0,1.0,0.9642857142857143,0.8053424814670562,0.9874838622020375,0.9874838622020375,0.9759000729485331,0.9923721235559483,1.0,0.9874838622020375,0.9516886081573908,0.31180478223116176,0.37780482591741266,0.6591261645324119,0.7892051872524702,0.5122717640554154,0.9642857142857141,-0.31799936400190804,-0.05415303610738829,0.08718572905786445,-0.20890725544918337,0.1561737618886061,0.82915619758885,0.82915619758885,0.9370425713316365,0.7637626158259735,0.5661220593180516,0.5466081666101211,0.21821789023599236,0.3353409184673307,0.058343238118830985,-0.10714285714285719,-0.0842151921066519,0.9018192769611633,0.9963221648111514,0.9370425713316365,0.9370425713316365,0.9370425713316365,0.8304547985373997,1.0,1.0,0.9874838622020375,0.9370425713316365,0.7662610281769212,0.8134892168199606,0.8134892168199606,0.37499999999999994,0.7662610281769212,0.8728715609439697,0.8304547985373997,0.9759000729485331,0.8728715609439697,0.9370425713316365,0.9684747092264969,0.9018192769611633,0.8728715609439697,0.8728715609439697,0.8304547985373997,0.9370425713316365,1.0,0.4412613040609141,-0.36115755925730764,0.82915619758885,1.0,0.9759000729485331,0.9315516419063742,0.9315516419063742,0.94824455372798,0.6347917188462602,0.3357298148516799,0.9302605094190634,0.6201736729460422,0.9370425713316365,0.9315516419063742,0.054554472558998104,0.6993786061802353,0.19824558013652693,0.8017837257372732,0.6201736729460422,-0.3179993640019081,-0.2947531723732817,0.16666666666666669,-0.24908054120278794,0.7453559924999299,1.0,0.37499999999999994
BSTv,0.9302605094190632,0.3636363636363636,0.32496684180984076,0.8304547985373996,1.0,1.0,0.9370425713316365,1.0,0.9370425713316365,1.0,1.0,0.9759000729485331,0.8518614552445118,0.8955334711889901,0.1317615691736825,0.6771206439123044,0.8664485777182116,0.027565892320998587,-0.04657464328326221,0.4744237363580554,0.8181818181818181,0.9684747092264969,0.8728715609439696,0.9018192769611633,0.8017837257372732,0.9759000729485331,1.0,1.0,0.9642857142857143,0.8053424814670562,0.9874838622020375,0.9874838622020375,0.9759000729485331,0.9923721235559483,1.0,0.9874838622020375,0.9516886081573908,0.31180478223116176,0.37780482591741266,0.6591261645324119,0.7892051872524702,0.5122717640554154,0.9642857142857141,-0.31799936400190804,-0.05415303610738829,0.08718572905786445,-0.20890725544918337,0.1561737618886061,0.82915619758885,0.82915619758885,0.9370425713316365,0.7637626158259735,0.5661220593180516,0.5466081666101211,0.21821789023599236,0.3353409184673307,0.058343238118830985,-0.10714285714285719,-0.0842151921066519,0.9018192769611633,0.9963221648111514,0.9370425713316365,0.9370425713316365,0.9370425713316365,0.8304547985373997,1.0,1.0,0.9874838622020375,0.9370425713316365,0.7662610281769212,0.8134892168199606,0.8134892168199606,0.37499999999999994,0.7662610281769212,0.8728715609439697,0.8304547985373997,0.9759000729485331,0.8728715609439697,0.9370425713316365,0.9684747092264969,0.9018192769611633,0.8728715609439697,0.8728715609439697,0.8304547985373997,0.9370425713316365,1.0,0.4412613040609141,-0.36115755925730764,0.82915619758885,1.0,0.9759000729485331,0.9315516419063742,0.9315516419063742,0.94824455372798,0.6347917188462602,0.3357298148516799,0.9302605094190634,0.6201736729460422,0.9370425713316365,0.9315516419063742,0.054554472558998104,0.6993786061802353,0.19824558013652693,0.8017837257372732,0.6201736729460422,-0.3179993640019081,-0.2947531723732817,0.16666666666666669,-0.24908054120278794,0.7453559924999299,1.0,0.37499999999999994
BSTal,0.8716936997543171,0.127778532454314,0.0870022185848612,0.9727143747452264,0.9370425713316365,0.9370425713316365,1.0,0.9370425713316365,0.7560975609756099,0.9370425713316365,0.9370425713316365,0.8382549209085562,0.8323428607671497,0.9168523371635586,0.08231079972079913,0.6686032815998416,0.9387584536904173,-0.060270967450212175,-0.15274848225350623,0.3573875441279667,0.8376592683116144,0.9075020318032556,0.6475182677614472,0.9959435995458621,0.9600014517991345,0.9906649065282938,0.9370425713316365,0.9370425713316365,0.9593531087442945,0.7546401896364912,0.8702361782561561,0.8702361782561561,0.8382549209085562,0.9729456174105681,0.9370425713316365,0.9803926565164289,0.8555218160844689,0.15304370970710843,0.21785797263947915,0.49885441526744695,0.6670170091506028,0.233856117159244,0.8478004216810042,-0.2979789417261729,0.07611555029922298,0.21785797263947915,-0.2320059162262966,0.26829268292682934,0.6592342530872155,0.6592342530872155,0.7560975609756099,0.7156780854205468,0.6567853439964122,0.2682926829268293,0.034079908829549824,0.2190078933274796,-0.006074455318520395,-0.15617376188860607,-0.14467423695414217,0.6941425087743889,0.9635192409838742,0.7560975609756099,1.0,0.7560975609756099,0.9727143747452265,0.9370425713316365,0.9370425713316365,0.8702361782561561,1.0,0.9424002054522901,0.9316682558083206,0.9316682558083206,0.15617376188860604,0.9424002054522901,0.9883173560569458,0.9727143747452265,0.9906649065282938,0.9883173560569458,1.0,0.9075020318032556,0.9959435995458621,0.9883173560569458,0.9883173560569458,0.9727143747452265,1.0,0.9370425713316365,0.4900511134653512,-0.33842000798232535,0.894675057761221,0.9370425713316365,0.9906649065282938,0.9494740323391178,0.7963330593811956,0.8885455148764864,0.6231519532728589,0.43796298348378787,0.8716936997543171,0.6779839886978022,1.0,0.9494740323391178,0.1363196353181994,0.7281639194105151,0.3405683383048158,0.9600014517991345,0.6779839886978022,-0.2979789417261729,-0.27619627054881685,0.15617376188860607,-0.23339907079733596,0.8148353450645078,0.9370425713316365,0.5466081666101211
BSTov,0.9302605094190632,0.3636363636363636,0.32496684180984076,0.8304547985373996,1.0,1.0,0.9370425713316365,1.0,0.9370425713316365,1.0,1.0,0.9759000729485331,0.8518614552445118,0.8955334711889901,0.1317615691736825,0.6771206439123044,0.8664485777182116,0.027565892320998587,-0.04657464328326221,0.4744237363580554,0.8181818181818181,0.9684747092264969,0.8728715609439696,0.9018192769611633,0.8017837257372732,0.9759000729485331,1.0,1.0,0.9642857142857143,0.8053424814670562,0.9874838622020375,0.9874838622020375,0.9759000729485331,0.9923721235559483,1.0,0.9874838622020375,0.9516886081573908,0.31180478223116176,0.37780482591741266,0.6591261645324119,0.7892051872524702,0.5122717640554154,0.9642857142857141,-0.31799936400190804,-0.05415303610738829,0.08718572905786445,-0.20890725544918337,0.1561737618886061,0.82915619758885,0.82915619758885,0.9370425713316365,0.7637626158259735,0.5661220593180516,0.5466081666101211,0.21821789023599236,0.3353409184673307,0.058343238118830985,-0.10714285714285719,-0.0842151921066519,0.9018192769611633,0.9963221648111514,0.9370425713316365,0.9370425713316365,0.9370425713316365,0.8304547985373997,1.0,1.0,0.9874838622020375,0.9370425713316365,0.7662610281769212,0.8134892168199606,0.8134892168199606,0.37499999999999994,0.7662610281769212,0.8728715609439697,0.8304547985373997,0.9759000729485331,0.8728715609439697,0.9370425713316365,0.9684747092264969,0.9018192769611633,0.8728715609439697,0.8728715609439697,0.8304547985373997,0.9370425713316365,1.0,0.4412613040609141,-0.36115755925730764,0.82915619758885,1.0,0.9759000729485331,0.9315516419063742,0.9315516419063742,0.94824455372798,0.6347917188462602,0.3357298148516799,0.9302605094190634,0.6201736729460422,0.9370425713316365,0.9315516419063742,0.054554472558998104,0.6993786061802353,0.19824558013652693,0.8017837257372732,0.6201736729460422,-0.3179993640019081,-0.2947531723732817,0.16666666666666669,-0.24908054120278794,0.7453559924999299,1.0,0.37499999999999994
BSTpr,0.8716936997543171,0.5537069739686942,0.5220133115091674,0.5836286248471358,0.9370425713316365,0.9370425713316365,0.7560975609756099,0.9370425713316365,1.0,0.9370425713316365,0.9370425713316365,0.9906649065282938,0.7641180361141047,0.7614536359493962,0.16462159944159827,0.6003784569467966,0.6850399526930072,0.11193179669325119,0.06546363525150266,0.5317229315074626,0.6956831211401544,0.9075020318032556,0.9883173560569458,0.6941425087743889,0.5426095162342934,0.8382549209085562,0.9370425713316365,0.9370425713316365,0.8478004216810042,0.7546401896364912,0.9803926565164287,0.9803926565164287,0.9906649065282938,0.8868442353388364,0.9370425713316365,0.8702361782561562,0.9280236649051865,0.4313050000836692,0.490180438438828,0.7364041368233742,0.8120207067920382,0.7261847848629156,0.9593531087442945,-0.2979789417261729,-0.1776029506981871,-0.054464493159869794,-0.15950406740557893,0.02439024390243903,0.894675057761221,0.894675057761221,1.0,0.7156780854205468,0.40417559630548444,0.7560975609756099,0.3748789971250484,0.409449539699201,0.11541465105188714,-0.04462107482531602,-0.013152203359467448,0.9959435995458621,0.9036733253948136,1.0,0.7560975609756099,1.0,0.5836286248471358,0.9370425713316365,0.9370425713316365,0.9803926565164287,0.7560975609756099,0.4936382028559614,0.5928797991507495,0.5928797991507495,0.5466081666101211,0.4936382028559614,0.6475182677614472,0.5836286248471358,0.8382549209085562,0.6475182677614472,0.7560975609756099,0.9075020318032556,0.6941425087743889,0.6475182677614472,0.6475182677614472,0.5836286248471358,0.7560975609756099,0.9370425713316365,0.3369101405074289,-0.33842000798232535,0.6592342530872155,0.9370425713316365,0.8382549209085562,0.7963330593811956,0.9494740323391178,0.8885455148764864,0.566501775702599,0.19122327447883694,0.8716936997543171,0.4842742776412873,0.7560975609756099,0.7963330593811956,-0.034079908829549845,0.5825311355284121,0.0309607580277105,0.5426095162342934,0.4842742776412873,-0.2979789417261729,-0.27619627054881685,0.15617376188860607,-0.23339907079733596,0.5820252464746485,0.9370425713316365,0.15617376188860604
BSTif,0.9302605094190632,0.3636363636363636,0.32496684180984076,0.8304547985373996,1.0,1.0,0.9370425713316365,1.0,0.9370425713316365,1.0,1.0,0.9759000729485331,0.8518614552445118,0.8955334711889901,0.1317615691736825,0.6771206439123044,0.8664485777182116,0.027565892320998587,-0.04657464328326221,0.4744237363580554,0.8181818181818181,0.9684747092264969,0.8728715609439696,0.9018192769611633,0.8017837257372732,0.9759000729485331,1.0,1.0,0.9642857142857143,0.8053424814670562,0.9874838622020375,0.9874838622020375,0.9759000729485331,0.9923721235559483,1.0,0.9874838622020375,0.9516886081573908,0.31180478223116176,0.37780482591741266,0.6591261645324119,0.7892051872524702,0.5122717640554154,0.9642857142857141,-0.31799936400190804,-0.05415303610738829,0.08718572905786445,-0.20890725544918337,0.1561737618886061,0.82915619758885,0.82915619758885,0.9370425713316365,0.7637626158259735,0.5661220593180516,0.5466081666101211,0.21821789023599236,0.3353409184673307,0.058343238118830985,-0.10714285714285719,-0.0842151921066519,0.9018192769611633,0.9963221648111514,0.9370425713316365,0.9370425713316365,0.9370425713316365,0.8304547985373997,1.0,1.0,0.9874838622020375,0.9370425713316365,0.7662610281769212,0.8134892168199606,0.8134892168199606,0.37499999999999994,0.7662610281769212,0.8728715609439697,0.8304547985373997,0.9759000729485331,0.8728715609439697,0.9370425713316365,0.9684747092264969,0.9018192769611633,0.8728715609439697,0.8728715609439697,0.8304547985373997,0.9370425713316365,1.0,0.4412613040609141,-0.36115755925730764,0.82915619758885,1.0,0.9759000729485331,0.9315516419063742,0.9315516419063742,0.94824455372798,0.6347917188462602,0.3357298148516799,0.9302605094190634,0.6201736729460422,0.9370425713316365,0.9315516419063742,0.054554472558998104,0.6993786061802353,0.19824558013652693,0.8017837257372732,0.6201736729460422,-0.3179993640019081,-0.2947531723732817,0.16666666666666669,-0.24908054120278794,0.7453559924999299,1.0,0.37499999999999994
