,SI,MS,NDB,ACB,LSr.m.v,LSr.m.d,LSr.vl,LSr.dl,LSc.v,LSc.d,SF,FS,CP,TTv,TTd,TR,ENTm,ENTl,ILA,PL,ACAv,ACAd,RSPv,RSPv.a,RSPv.b/c,RSPd,AIv,AId,ORBv,ORBm,PTLp,PERI,ECT,VISp,VISpm,AVP,MPO,AHNc,MM,LM,SUMl,LHAa,LHAjvv,LHAjvd,LHAjp,LHAjd,LHAsfp,LHAs,ZI,REr,REc,PT,AV,AD,IAM,VTA
SI,1.0,0.5074148233194891,0.46065343970487876,0.7585875554422662,0.9256438034556579,0.13074409009212265,0.6502179046647996,0.8396071825974649,0.37610409515247323,0.20219057313792713,0.7269090980363719,0.7329325225725953,0.8878767651128605,0.8859623899229173,0.7029327325560875,0.8637251994466476,0.22099784804393197,0.28837490036423613,0.5345489080522581,0.6909801595573182,0.43988879279187043,0.8859623899229173,-0.39442966713513744,-0.16792143651949304,9.426946704301726e-18,-0.28790839981554917,0.7479575920067657,0.7479575920067657,0.6766649524509584,0.46812532915073773,0.13533299049019168,0.2646885933936158,-0.024121960183814004,-0.17719247798458349,-0.15668413501991652,0.7399400733959437,0.7399400733959437,0.8878767651128605,0.3648781915578899,-0.44796082007366467,0.7479575920067657,0.8513824469684098,0.8513824469684097,0.8654707925179593,0.5848976518656018,0.22045848606429994,0.846153846153846,0.5384615384615384,0.8513824469684098,0.5783149319662402,0.04098222985952965,0.5384615384615384,-0.3944296671351374,-0.36559631504647194,0.10336227882434036,0.6471502289294339
MS,0.5074148233194891,1.0,0.9622394796447233,0.46862308493637483,0.28041957178645144,0.43121968093205176,0.4845086132393028,0.19199712801710375,0.5864017093739695,0.8087051697366443,0.6545525346544295,0.4214876033057851,0.31389298876115707,0.35064935064935054,0.4826631707108957,0.4304755566831656,0.15387768473745642,0.19022340885352246,0.5853777824868274,0.6246115920500834,0.6519822451614378,0.5454545454545453,-0.019272688727388396,-0.29045719366690054,-0.12681560590234836,0.21945812693651576,0.7126631780928958,0.7126631780928958,0.17854191019308466,0.20586256702474595,0.1785419101930846,0.7039387875264629,0.32177179810991663,-0.16883116883116886,-0.14546260454785329,0.1479071303309019,0.1479071303309019,0.46701151986416045,0.42788974939240154,-0.35021339079496494,0.3015113445777636,0.33874605160231785,0.6061771449725688,0.49120043778018857,0.42869051142864323,0.14003703507182363,0.5074148233194892,0.3946559736929359,0.33874605160231785,0.25431949315644914,-0.2583199983597169,0.3946559736929359,-0.11563613236433017,-0.3751404012023585,0.5151515151515151,0.2032789070454354
NDB,0.46065343970487876,0.9622394796447233,1.0,0.45427975675133386,0.2217285210417449,0.5872202195147035,0.5597375574257506,0.23128722612533778,0.5528366312436028,0.838923331091211,0.7047862092978369,0.37139067635410367,0.34404410871358243,0.30507091271944226,0.5317274469133195,0.3793103448275862,0.09098680561400185,0.3453863134210764,0.6496437896668512,0.6551724137931033,0.7610118277186022,0.5040302036234264,0.06889283267815866,-0.2815670578917156,-0.14031318982731233,0.25,0.671871013147025,0.671871013147025,0.32417635938924305,0.2903486276554365,0.12156613477096613,0.6680006309644103,0.2672403275429079,-0.2254871963578487,-0.20329879151257144,0.10070743681384509,0.10070743681384509,0.4222359516030329,0.38238744638284566,-0.42474674230940107,0.25195162993013437,0.2913428162916919,0.564476706565153,0.4451950089168809,0.5388702304143923,0.2420393211370654,0.4606534397048788,0.3454900797786591,0.2913428162916919,0.17316179571791196,-0.25769296031890737,0.3454900797786591,-0.17715299831526513,-0.43787432018092315,0.479712956957384,0.27681826617913324
ACB,0.7585875554422662,0.46862308493637483,0.45427975675133386,1.0,0.7302691448766574,0.4604824699962814,0.8893129770992367,0.8563784646284154,-0.10597150056388634,0.19939302839322218,0.3218516734133307,0.9849027547815338,0.8388023667272024,0.9423522325415481,0.9694471459927221,0.8436624053953342,0.10507825406121851,0.2742282905789027,0.810663540738631,0.9410080675563345,0.5095456916806317,0.911148516232225,-0.0046306222390683225,0.1135529455860882,0.2996197989658381,0.1744109780384585,0.8956677286155148,0.8956677286155148,0.6863682813667188,0.8620574722080124,0.019065785593519922,0.7084999976418715,0.3024500280174372,-0.24338898721271773,-0.22809538042581817,0.9002818497951064,0.9002818497951064,0.9491710991913079,0.8310351948075411,-0.3996901111814179,0.9615256498372438,0.9595457919427279,0.916708926230999,0.9660449056956653,0.8556995826886792,0.7281448676300242,0.9753268569971993,0.921142031608466,0.9595457919427279,0.8147332338154853,0.36373673191884937,0.921142031608466,-0.1667024006064582,-0.4120432678659941,0.6334354410792525,0.9117087760253241
LSr.m.v,0.9256438034556579,0.28041957178645144,0.2217285210417449,0.7302691448766574,1.0,0.15732919388188815,0.660719702507452,0.8567601297452072,0.25783342758274475,0.05097785240637073,0.5498218458572915,0.732709203700083,0.8463522060806533,0.8813186541859904,0.647012470154174,0.7945272003995861,0.16842542096289495,0.2082073028835525,0.38846798922897546,0.5912760561113197,0.24310174090181638,0.8102445691709911,-0.442989671103031,-0.15626442617994346,0.03470121714725875,-0.36030884669283547,0.6300315023626969,0.6300315023626969,0.6296912574265237,0.49356905044014165,-0.021713491635397375,0.1638049182255016,-0.1122371373359937,-0.25586670605399725,-0.24301201956771237,0.8094520245706585,0.8094520245706585,0.8463522060806533,0.37077141131920827,-0.5031112841810846,0.7800390029252438,0.8586285314760612,0.7610571074446906,0.8224808141972026,0.5053130946314818,0.2318794758440517,0.8022246296615704,0.5553862820733949,0.8586285314760612,0.5567261785492479,0.04602773584047308,0.5553862820733949,-0.442989671103031,-0.4106065158213071,0.06633581268066593,0.6674912392349772
LSr.m.d,0.13074409009212265,0.43121968093205176,0.5872202195147035,0.4604824699962814,0.15732919388188815,1.0,0.7828201989936783,0.34249387262537084,0.08717100546930083,0.6136748082707143,0.29416854567425327,0.3833063830507127,0.26631182064565373,0.2258769757263128,0.5973779533410981,0.1223375457322299,-0.21128856368212914,0.39824125363414586,0.5611684468205077,0.5872202195147035,0.5399818518024957,0.26352313834736496,0.3072673647789124,-0.08562346815634268,0.061267885174483956,0.3670126371966897,0.3972760788523301,0.3972760788523301,0.46004370622823615,0.6535779086592037,-0.3450327796711772,0.5784224154597744,0.14349806996393832,-0.48940011407367773,-0.4882383378503652,0.2286647801900118,0.2286647801900118,0.26631182064565373,0.5168113941217019,-0.6027646985379475,0.3178208630818641,0.25840569706085087,0.3100868364730211,0.301747176717517,0.6882472016116853,0.6661464428912522,0.3268602252303067,0.4576043153224294,0.25840569706085087,0.0982946374365981,-0.06965639658809553,0.4576043153224294,-0.2514005711827466,-0.621394248173192,0.570966799752624,0.5499719409228703
LSr.vl,0.6502179046647996,0.4845086132393028,0.5597375574257506,0.8893129770992367,0.660719702507452,0.7828201989936783,1.0,0.8232588554991396,0.05780263667121067,0.43134002060574594,0.458394807588683,0.8419330000551819,0.7431494652583108,0.7738521644712048,0.9329625759822435,0.636802873303209,-0.06616038218669308,0.38595092748141857,0.7619351311860357,0.8842230979624176,0.5577459598125833,0.7426484481618821,0.07408995582509252,0.004731372732753653,0.20821036877287055,0.19063525506529186,0.750780301927711,0.750780301927711,0.7435656381472786,0.9044537413329964,-0.2097236415287196,0.6499022534760022,0.17331406099875615,-0.44309277159238347,-0.4341170143588152,0.7581320840379843,0.7581320840379843,0.7799390427463461,0.7539288365264292,-0.6258305688235358,0.81663822314944,0.7967657022381579,0.7539288365264292,0.8003478830358911,0.9190847369619146,0.7902614914088889,0.8127723808309993,0.8127723808309995,0.7967657022381579,0.5703132636708398,0.18475516541909814,0.8127723808309995,-0.31951293449571155,-0.6180649017989911,0.6043119725238846,0.911708776025324
LSr.dl,0.8396071825974649,0.19199712801710375,0.23128722612533778,0.8563784646284154,0.8567601297452072,0.34249387262537084,0.8232588554991396,1.0,0.00895666057314847,0.047921008448737284,0.4866269649126081,0.8319875547407828,0.9075411594494891,0.9128654658102586,0.8431603159021834,0.774309409202218,0.004824335894463025,0.3273484540712187,0.5848272674064483,0.7340855437891157,0.33716071315682794,0.796823245580141,-0.1607258897152703,0.08504398826979466,0.23292101539682875,-0.13072756259258222,0.6367824344585655,0.6367824344585655,0.8390184515351722,0.8116866164575393,-0.10635445160305,0.27404681743305936,-0.02316939885678736,-0.28623747656762344,-0.2781910086754715,0.9104268259160609,0.9104268259160609,0.8619360760600676,0.541634491516355,-0.4759059397749847,0.8816987554041675,0.9133444366746378,0.7540401744639452,0.8506713646557046,0.8053782021288317,0.6224246513791797,0.8396071825974651,0.7052700333818708,0.9133444366746378,0.6564735651623609,0.33280360183716756,0.7052700333818708,-0.36163325185935813,-0.41500625884373615,0.23466315646534902,0.9283556694182585
LSc.v,0.37610409515247323,0.5864017093739695,0.5528366312436028,-0.10597150056388634,0.25783342758274475,0.08717100546930083,0.05780263667121067,0.00895666057314847,1.0,0.7112648673059704,0.8092920670460301,-0.11527554970599399,-0.01392880150442505,-0.04725581540742615,-0.12168880187391504,-0.015356573090100127,-0.05893835692907392,-0.057680458059284345,-0.14255991457694087,-0.061426292360400314,0.07386488642451461,0.03150387693828409,-0.3155737041440145,-0.45678968923057195,-0.346082748355706,-0.2712994579251013,0.03324571703276046,0.03324571703276046,-0.08421519210665193,-0.25563556887285527,-0.08421519210665192,-0.07059032895825429,-0.19942714403561737,-0.20477520009884648,-0.19964615489675896,-0.14949704103435,-0.14949704103435,-0.013928801504425069,-0.18380795296340582,-0.3584026940184576,-0.13298286813104201,-0.07568562769081416,0.032436697581777474,-0.02564601467218908,-0.059995200575923224,-0.3636549532941369,-0.03419128137749755,-0.1709564068874878,-0.07568562769081416,-0.25705327132765904,-0.5501248423925109,-0.1709564068874878,-0.3155737041440145,-0.29250483159292595,-0.1562067231523252,-0.2054640303006408
LSc.d,0.20219057313792713,0.8087051697366443,0.838923331091211,0.19939302839322218,0.05097785240637073,0.6136748082707143,0.43134002060574594,0.047921008448737284,0.7112648673059704,1.0,0.6212907991001579,0.17359639769215926,-0.03530063278258843,0.013307040938074902,0.24727851502011094,-0.017297388269921905,-0.21160914909371792,0.016242576921044773,0.27628709392585704,0.3200016829935547,0.3340242454495583,0.11310984797363687,0.13823326479846915,-0.2496936756013154,-0.09204126921925361,0.2854069064537109,0.2948984497108881,0.2948984497108881,-0.010163420395767448,0.20591319079399753,-0.21343182831111585,0.5310250443005136,0.18296591056058217,-0.35263658485898547,-0.34908403529448545,-0.025258646725446712,-0.025258646725446712,0.08236814315937296,0.3562275224099659,-0.4317334686142104,0.08425669991739661,0.03653615614461188,0.17354674168690642,0.11832659548292665,0.35478237437320154,0.21891094912781728,0.14442183795566227,0.2599593083201921,0.03653615614461188,-0.04343107880371944,-0.31700712308874607,0.2599593083201921,-0.13329636248423807,-0.46675281123644685,0.4967961950214638,0.10414406840917834
