,SI,MS,NDB,ACB,LSr.m.v,LSr.m.d,LSr.vl,LSr.dl,LSc.v,LSc.d,SF,FS,CP,TTv,TTd,TR,ENTm,ENTl,ILA,PL,ACAv,ACAd,RSPv,RSPv.a,RSPv.b/c,RSPd,AIv,AId,ORBv,ORBm,PTLp,PERI,ECT,VISp,VISpm,AVP,MPO,AHNc,MM,LM,SUMl,LHAa,LHAjvv,LHAjvd,LHAjp,LHAjd,LHAsfp,LHAs,ZI,REr,REc,PT,AV,AD,IAM,VTA
SI,1.0,0.5277777777777778,0.43631535400717447,0.6076436202502,0.8811028508106048,0.17170739878997723,0.6417950385128378,0.769800358919501,0.5345678881556867,0.2876779808912305,0.8175617798386862,0.6527777777777778,0.7037037037037037,0.7004682672384859,0.6099942813304187,0.6076436202502,0.18314741859825204,0.15558667600311218,0.3683166666160614,0.5633974959510117,0.19355044226326584,0.7004682672384859,-0.4147509477069983,-0.20447822033799246,-0.04236071398127907,-0.18144913660249026,0.6527777777777778,0.6527777777777778,0.6103891839705953,0.4219747362848611,0.0939060283031685,0.4977011372483979,0.23630585231952222,-0.009216687726822183,-0.009259259259259259,0.6527777777777778,0.6527777777777778,0.7037037037037037,0.4977011372483979,-0.508328567775349,0.6527777777777778,0.7004682672384859,0.7004682672384859,0.7037037037037037,0.5932210431853144,0.20734905491284114,0.7037037037037037,0.5509259259259259,0.7004682672384859,0.41640732669874464,-0.0038276267681218775,0.5509259259259259,-0.5063696835418333,-0.4166666666666667,0.5,0.522916908204867
MS,0.5277777777777778,1.0,0.914991421995628,0.3924365047449208,0.35582999744274424,0.46829290579084704,0.4900980294098034,0.4811252243246881,0.6359514531507307,0.815087612525153,0.5464532103585,0.4583333333333333,0.19444444444444445,0.47005107406793134,0.44478749680343027,0.41775498892201246,0.022893427324781505,-0.046676002800933654,0.4536110525692545,0.5337449961641163,0.5806513267897976,0.5806513267897976,0.0,-0.27664700398669567,-0.12708214194383724,0.3417995363907375,0.625,0.625,0.14085904245475275,0.2658440838594625,0.14085904245475275,0.6359514531507307,0.36711802056782916,0.02765006318046655,0.027777777777777776,0.4583333333333333,0.4583333333333333,0.5277777777777778,0.5253512004288644,-0.24145606969329073,0.4583333333333333,0.47005107406793134,0.5806513267897976,0.5277777777777778,0.40446889308089623,0.20734905491284114,0.5277777777777778,0.4861111111111111,0.47005107406793134,0.20034692133618845,-0.2411404863916783,0.4861111111111111,-0.08861469461982083,-0.4166666666666667,0.5833333333333334,0.2957480874273428
NDB,0.43631535400717447,0.914991421995628,1.0,0.47104598207940845,0.2441860465116279,0.6712915871220497,0.5658828838306512,0.6089785435418898,0.5481573636015543,0.8993448564427018,0.6550387596899225,0.36853821163712797,0.3346496404521047,0.37949355941646074,0.5232558139534884,0.305021578559617,-0.10822766304831954,0.1423604739196607,0.5498528582359636,0.6124031007751938,0.7842866894606855,0.4891250321367716,0.15179742376658428,-0.24946109012559342,-0.04263565891472868,0.47876804735939876,0.5337449961641163,0.5337449961641163,0.3436928414843114,0.40154739455949573,0.042961605185538924,0.5481573636015543,0.2586891868796751,-0.06746552167403747,-0.06777714237004652,0.36853821163712797,0.36853821163712797,0.43631535400717447,0.4385258908812435,-0.3488372093023256,0.36853821163712797,0.37949355941646074,0.4891250321367716,0.43631535400717447,0.5286936680472669,0.33025787075537233,0.43631535400717447,0.3981907114240233,0.37949355941646074,0.04672753505482331,-0.24165495050083333,0.3981907114240233,-0.19305163199975758,-0.508328567775349,0.4956203535809652,0.43140240489042736
ACB,0.6076436202502,0.3924365047449208,0.47104598207940845,1.0,0.5019342431993696,0.6117936727163076,0.9146866040947615,0.9026388782034841,-0.04200346122781363,0.269492105069815,0.4671849494394133,0.9114654303752999,0.8439494725697222,0.9156754547663372,0.9961464211187491,0.7269230769230769,0.027822090119130165,0.31907672235863777,0.8551717262156656,0.9729802252787781,0.6468533029083299,0.8988740702752117,0.10920899919231544,0.14617633655117152,0.4208525577594715,0.3730769230769231,0.8861469461982083,0.8861469461982083,0.8131249357707345,0.9538461538461539,-0.042796049251091296,0.8484699168018354,0.49615384615384617,-0.13441107592900362,-0.13503191561115555,0.9114654303752999,0.9114654303752999,0.9114654303752999,0.8652713012929608,-0.3745201660795297,0.9114654303752999,0.9156754547663372,0.8988740702752117,0.9114654303752999,0.8847825928929607,0.8399622025513087,0.9114654303752999,0.8861469461982083,0.9156754547663372,0.6266005147845037,0.37329619430887817,0.8861469461982083,-0.23461538461538461,-0.5063696835418333,0.8608284620211166,0.9844951849708403
LSr.m.v,0.8811028508106048,0.35582999744274424,0.2441860465116279,0.5019342431993696,1.0,0.2713731947940201,0.6512991681824476,0.6236527253139835,0.6324892656941011,0.25591113801215093,0.6550387596899225,0.5718696387472675,0.6099942813304187,0.6156228852755918,0.49612403100775193,0.48649011263938907,0.2513674754670647,0.1423604739196607,0.19510907872889033,0.437984496124031,0.05059914125552809,0.5987565048570824,-0.5059914125552809,-0.3044892717709449,-0.11627906976744186,-0.32046570911959754,0.5464532103585,0.5464532103585,0.5155392622264671,0.332048807039583,-0.042961605185538924,0.3963599398349701,0.11583097919985454,-0.13493104334807493,-0.13555428474009304,0.5718696387472675,0.5718696387472675,0.6099942813304187,0.41322632025347944,-0.6201550387596899,0.5718696387472675,0.6156228852755918,0.5987565048570824,0.6099942813304187,0.4088564366232198,0.04216057924536668,0.6099942813304187,0.4702039251921977,0.6156228852755918,0.273176358782044,-0.14359207203672705,0.4702039251921977,-0.6177652223992243,-0.508328567775349,0.40666285422027915,0.4235587248015105
LSr.m.d,0.17170739878997723,0.46829290579084704,0.6712915871220497,0.6117936727163076,0.2713731947940201,1.0,0.7868894753646337,0.6218487810012564,0.2796838941329537,0.7544183225801492,0.38563559260202857,0.42146361521176234,0.42146361521176234,0.40398784708093305,0.6284431879440466,0.19207475771325935,-0.1929749328978031,0.23606684260939012,0.5621035095372022,0.6712915871220497,0.7458237176878765,0.4350638353179279,0.2796838941329537,-0.12166606584807191,0.20710059602701536,0.49085771415610724,0.46829290579084704,0.46829290579084704,0.47493569014597764,0.6687047120387548,-0.3166237934306518,0.5282918000289125,0.16361923805203574,-0.38844985296243567,-0.3902440881590392,0.42146361521176234,0.42146361521176234,0.42146361521176234,0.49721581179191765,-0.5070393902730376,0.42146361521176234,0.40398784708093305,0.4350638353179279,0.42146361521176234,0.5649827126444176,0.5049204754782254,0.42146361521176234,0.46829290579084704,0.40398784708093305,-0.01986798535597566,-0.12260361156842099,0.46829290579084704,-0.3058968363581538,-0.7024393586862705,0.5151221963699317,0.6503324771430901
LSr.vl,0.6417950385128378,0.4900980294098034,0.5658828838306512,0.9146866040947615,0.6512991681824476,0.7868894753646337,1.0,0.9095085938862486,0.2323069967623409,0.5236786714319945,0.5765599193746258,0.8401680504168058,0.7351470441147051,0.8363051883444272,0.9075480212378368,0.5849739909908359,-0.06732014170987177,0.19607843137254902,0.7035867944946939,0.8861939501498878,0.5807674919058523,0.8130744886681932,0.04646139935246818,-0.010105651043180541,0.3309881018632111,0.287169050122774,0.8051610483161056,0.8051610483161056,0.7100716024967263,0.8934148226041857,-0.23669053416557545,0.7898437889919591,0.3722561760850774,-0.32522979546727726,-0.3267320196065356,0.8401680504168058,0.8401680504168058,0.8284990497165724,0.8130744886681932,-0.5552058482866766,0.8401680504168058,0.8363051883444272,0.8130744886681932,0.8284990497165724,0.8349908101841637,0.6774757547517904,0.8284990497165724,0.8284990497165724,0.8363051883444272,0.4257634434799699,0.15436078653581461,0.8284990497165724,-0.3828920668303653,-0.7001400420140048,0.8051610483161056,0.9074852129730301
LSr.dl,0.769800358919501,0.4811252243246881,0.6089785435418898,0.9026388782034841,0.6236527253139835,0.6218487810012564,0.9095085938862486,1.0,0.21551091417475907,0.45675013919556984,0.788737270250038,0.7577722283113838,0.8660254037844386,0.7742429138870974,0.8987936335407409,0.5810509377909068,-0.0793051585718144,0.3099066319908699,0.7084526892056469,0.86577672455353,0.5986414282632196,0.7582791424667449,0.0,-0.003472222222222222,0.2934836354418746,0.23753654689565373,0.7337159670951494,0.7337159670951494,0.8539125638299665,0.8514771604105741,-0.12198750911856665,0.6624965139446297,0.3033158983436809,-0.21551091417475907,-0.21650635094610965,0.7577722283113838,0.7577722283113838,0.769800358919501,0.6784602853649823,-0.5539503618965383,0.7577722283113838,0.7742429138870974,0.7582791424667449,0.769800358919501,0.9040568683578879,0.6584216796857882,0.769800358919501,0.709659705878915,0.7742429138870974,0.40484622137666415,0.18231521095693812,0.709659705878915,-0.4494922348948524,-0.6014065304058601,0.6735753140545634,0.9020066914544324
LSc.v,0.5345678881556867,0.6359514531507307,0.5481573636015543,-0.04200346122781363,0.6324892656941011,0.2796838941329537,0.2323069967623409,0.21551091417475907,1.0,0.6602080908235405,0.6156228852755918,0.0,0.09216687726822183,0.045871559633027525,0.0,0.04200346122781363,0.16711324395417376,0.030974266234978787,-0.11577576242674914,0.042165951046273416,0.13761467889908258,0.13761467889908258,-0.41284403669724773,-0.5986414282632196,-0.5059914125552809,-0.21001730613906816,0.13825031590233275,0.13825031590233275,0.04673713708096721,-0.21001730613906816,0.04673713708096721,0.045871559633027525,-0.1260103836834409,-0.045871559633027525,-0.046083438634110914,0.0,0.0,0.09216687726822183,-0.045871559633027525,-0.5059914125552809,0.0,0.045871559633027525,0.13761467889908258,0.09216687726822183,-0.023006243207767167,-0.4204357277083396,0.09216687726822183,-0.046083438634110914,0.045871559633027525,-0.2737216604520213,-0.6477048264552673,-0.046083438634110914,-0.5040415347337636,-0.4147509477069983,0.0,-0.12799492126228446
LSc.d,0.2876779808912305,0.815087612525153,0.8993448564427018,0.269492105069815,0.25591113801215093,0.7544183225801492,0.5236786714319945,0.45675013919556984,0.6602080908235405,1.0,0.5703162504270791,0.19178532059415365,0.09589266029707683,0.18294922998724616,0.30709336561458106,0.05098499285104609,-0.23709365814503763,-0.04028297472553804,0.2877558053159982,0.38752258041839993,0.5806649473508247,0.26249237345996185,0.13522334390361673,-0.32526146276048157,-0.08774096160416603,0.35689494995732257,0.3116511459654997,0.3116511459654997,0.12156613477096616,0.269492105069815,-0.20261022461827694,0.3738527743217639,0.08011927448021527,-0.27840100215450503,-0.2796869258664741,0.19178532059415365,0.19178532059415365,0.22374954069317926,0.29430963084904815,-0.4240813144201358,0.19178532059415365,0.18294922998724616,0.26249237345996185,0.22374954069317926,0.3590438230125973,0.12592726574262103,0.22374954069317926,0.24772270576744848,0.18294922998724616,-0.196638416050035,-0.4030113621346212,0.24772270576744848,-0.24764139384793812,-0.5993291268567302,0.3356243110397689,0.25893977761077724
