,group,eff_DG,eff_CA3,eff_CA2,eff_CA1v,eff_CA1d,eff_SUBv,eff_SUBd,aff_DG,aff_CA3,aff_CA2,aff_CA1v,aff_CA1d,aff_SUBv,aff_SUBd
GPm,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPl,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,other,0.0,0.0001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0
MA,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,other,0.0,0.001,0.0,0.01,0.0,0.0,0.001,0.3,0.01,0.001,0.01,0.001,0.3,0.01
NDB,other,0.0,0.001,0.0,0.01,0.0001,0.0,0.001,0.01,0.01,0.0001,0.0001,0.075,0.001,0.075
TRS,other,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTam,other,0.0,0.0,0.0,0.0001,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
BSTfu,other,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTv,other,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTmg,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTdm,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTal,other,0.0,0.0,0.0,0.0001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTov,other,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTju,other,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
BSTrh,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
BSTpr,other,0.0,0.0,0.0,0.001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
BSTif,other,0.0,0.0,0.0,0.075,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
BSTtr,other,0.0,0.0,0.0,0.075,0.0,0.075,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
BSTd,other,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
BSTse,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OT,other,0.0,0.0,0.0,0.01,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,other,0.0,0.0,0.0,0.3,0.0001,0.75,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSr.m.v,other,0.0,0.001,0.001,0.075,0.0,0.75,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0
LSr.m.d,other,0.0,0.001,0.01,0.01,0.3,0.001,0.3,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0
LSr.vl,other,0.0,0.001,0.001,0.3,0.075,0.75,0.3,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
LSr.dl,other,0.0,0.0001,0.0,0.01,0.001,0.75,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0
LSc.v,other,0.0,0.75,0.0001,0.001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
LSc.d,other,0.0,0.75,0.0001,0.01,0.001,0.0,0.3,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0
LSv,other,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0
SH,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SF,other,0.0,0.3,0.0,0.075,0.001,0.001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
FS,other,0.0,0.0,0.0,0.001,0.0,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP,other,0.0,0.0,0.0,0.01,0.0001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA,other,0.0,0.0,0.0,0.01,0.0,0.0001,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0
CEAm,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEAl,other,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEAc,other,0.0,0.0,0.0,0.001,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,other,0.0,0.0,0.0,0.0001,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEAav,other,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEAad,other,0.0,0.0,0.0,0.001,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0
MEApv,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0001,0.0,0.001,0.0
MEApd,other,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0
BA,other,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOB,other,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOB,other,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
