region,major_division,afferent_cluster,efferent_cluster,residual_magnitude,dorsoventral_projection,residual_cluster,collapsed_subspace_loading,geodesic_displacement,idiosyncrasy
LSc.v,CNU,1,3,1.399042729753645,-0.569796355097173,0,0.9907949538484572,0.0013399826141314494,0.14244706268792612
LSc.d,CNU,1,2,1.3480478692808733,-0.7505735587668945,2,0.9857703901920147,0.8534906657526817,0.24077942057360904
SF,CNU,1,3,1.3041969174382557,-0.44919647678739394,0,0.9907949538484572,0.24502048903727616,0.14661463694887816
LSr.m.d,CNU,1,2,1.29154742291694,-1.2642170141077842,2,0.8878522083716327,1.195754411701381,0.36666657691060894
POST,CTX,1,2,1.2830193183873808,-1.0704630211653219,2,0.8875883020326593,1.5707963267948966,1.284904676980435
SMT,TH,3,2,1.2830193183873808,-1.0704630211653219,2,0.8713185656160778,1.5707963267948966,0.38666536869486756
AV,TH,2,2,1.2830193183873808,-1.0704630211653219,2,0.833633468582544,1.5374938153392663,1.3675950464953355
RSPd,CTX,2,2,1.2829261072294798,-1.0710625717383717,2,0.8244532780460725,0.785399061173614,0.5553241181642605
IAM,TH,4,2,1.281610209732509,-1.0691288013158342,2,0.9548497694188889,0.7877548248826809,0.44535879919318544
ECT,CTX,2,2,1.2775050369261653,-1.0636858433678966,2,0.8210831083590884,0.7852704033348401,0.5579846299911929
PERI,CTX,4,2,1.2692416044002002,-1.0533614585895021,2,0.9663943947180083,0.7859092057866941,0.42339518789175273
ENTl,CTX,1,2,1.0918197595959402,-0.5662207613217694,0,0.640347028334585,0.9746545591108113,0.388533387422231
AMd,TH,4,3,0.9773683165362201,-0.07046302116532199,0,0.9946967160953548,1.5706629935820569,0.36610061692085466
LHAsfa,HY,3,3,0.9773683165362201,-0.0704630211653219,0,0.7410755842420341,0.17150355400241327,0.5267921377671442
ADP,HY,3,3,0.9773683165362201,-0.07046302116532194,0,0.8577517311924148,0.7853981633974482,0.9431423710338293
VMHa,HY,3,3,0.97736831653622,-0.0704630211653219,0,0.8062130452543343,0.0,0.8846203226753586
BMAa,CTX,2,3,0.9745260243425553,-0.06879914151246724,0,0.8023512563037858,1.4677943533159976,0.9971121601886181
ENTm,CTX,1,3,0.9699808486236632,-0.06790030553060736,0,0.8218063528888262,1.514299714310653,0.28549961857954853
AAA,CNU,3,3,0.9688347773082561,-0.06548826927172964,0,0.8062130452543343,0.009999666686650274,0.874806167029647
LA,CTX,3,3,0.9659859723804859,-0.06384138553164354,0,0.5886179642774306,0.6671393734552358,0.42725344738212934
BLAa,CTX,2,3,0.9659859723804859,-0.06384138553164354,0,0.5973521104498029,0.9483111649208255,0.3001556580753058
AIv,CTX,2,3,0.9635903634353741,-0.07055188635752825,0,0.8412370711222313,1.5574649683173194,0.9804308970830052
MS,CNU,1,2,0.9625054645789081,-0.12489662682581855,0,0.6819101187902556,1.5428105362245776,0.367259379533144
NDB,CNU,1,2,0.9621462406807829,-0.12986896175938134,0,0.9490088929753203,1.4841776876444168,0.8415004242675741
ILA,CTX,2,2,0.9499025914271533,-0.12277507959468169,0,0.5950955285152396,0.8769736630000873,0.33965648451497327
BSTpr,CNU,2,3,0.8914313847967745,-0.023192566549827893,0,0.8412370711222313,1.4711276743037345,0.9019320471541804
COApm,CTX,3,3,0.8914313847967745,-0.02319256654982788,0,0.6027798608936218,0.5438335200540064,0.5086029519312769
LHAjvv,HY,3,3,0.8911686155367681,-0.023856405738350614,0,0.5697547028273511,0.6917739474387943,0.6744192176655096
LHAjd,HY,3,2,0.8569236289281832,-0.7839992080702118,2,0.8062130452543343,1.5700184171102278,1.1078499864160114
RSPv.b/c,CTX,4,2,0.7557586931143543,-0.5739984666862216,2,0.9656948615064114,0.7854231621475211,0.14789858340200188
RSPv.a,CTX,2,2,0.7549331464656273,-0.6057303019582518,2,0.8412370711222313,0.7878857358485835,0.8146266148093262
PT,TH,2,2,0.7081901331580561,-0.535195740372392,2,0.597558895312958,0.9893053357643462,0.8236524531505073
TR,CTX,3,3,0.6412118179104943,0.07940875902844015,0,0.7983535397677612,0.36763744100619894,0.4894504041386698
MEApv,CNU,2,1,0.5778350042193646,-0.07046302116532199,1,0.8023512563037858,0.09966865249116184,0.6054051939798085
LSv,CNU,2,1,0.5778350042193645,-0.07046302116532194,1,0.8783430800556226,0.7853981633974482,0.11870827283837962
DMHv,HY,1,1,0.5778350042193645,-0.07046302116532188,1,0.5032338389638236,1.0471975511965976,0.0776930774823507
DMHp,HY,1,1,0.5778350042193645,-0.07046302116532188,1,0.5032338389638236,1.0471975511965976,0.0776930774823507
BSTju,CNU,3,1,0.5778350042193645,-0.0704630211653219,1,0.8062130452543343,1.5707963267948966,0.7223693766180228
BSTd,CNU,3,1,0.5778350042193645,-0.0704630211653219,1,0.8062130452543343,1.5707963267948966,0.7223693766180228
MPNm,HY,3,1,0.5778350042193645,-0.0704630211653219,1,0.8062130452543343,1.5707963267948966,0.7223693766180228
SUMm,HY,1,1,0.5778350042193645,-0.07046302116532187,1,0.8628077448751894,1.5707963267948966,0.2776845172015257
PVT,TH,2,1,0.577533665071344,-0.07029638228569003,1,0.8361376600192729,0.012999893597356937,0.645323019147987
PA,CTX,2,1,0.576629666905955,-0.06979679953509894,1,0.681929989105124,0.38978213167080417,0.3072540122063708
PMv,HY,2,1,0.576629666905955,-0.06979679953509893,1,0.5991307775450657,0.7840648308542375,0.6010104285462129
BSTam,CNU,2,1,0.576629666905955,-0.06979679953509894,1,0.8412370711222313,0.0013333325432636565,0.6469140026129309
DMHa,HY,1,1,0.576629666905955,-0.06979679953509893,1,0.5032338389638236,1.0464280937311965,0.07664380979851443
AHNp,HY,3,1,0.574821766817114,-0.06879914151246722,1,0.6673116567749489,1.0452752005026056,0.2884918490311827
LSr.dl,CNU,3,1,0.5656511742044281,-0.06457511227845077,1,0.8577517311924148,1.5612746665515562,0.8027182322172182
PRE,CTX,1,1,0.5650310816079025,-0.07055188635752833,1,0.8145770945680425,0.7854425880976401,1.0075923835825593
REc,TH,4,2,0.5472814423944268,-0.1469156575724405,1,0.6646410233800736,0.9656108354801949,0.2907613186415601
RCH,HY,3,1,0.4880627372936824,-0.023192566549827955,1,0.6814275822990365,0.8867508937088833,0.18592591170189252
BLAp,CTX,1,1,0.4880627372936824,-0.023192566549827962,1,0.7527995341777556,1.2262843688881009,0.30641035180231396
MEAad,CNU,2,1,0.4880627372936823,-0.02319256654982785,1,0.5991307775450657,0.6857295109062862,0.5037109018688838
PH,HY,1,1,0.48806273729368227,-0.023192566549827907,1,0.8711769346696321,1.5707963267948966,0.2272418818368779
LSr.m.v,CNU,3,1,0.4880046558653522,-0.023193529839613976,1,0.6814275822990365,0.8857636006723283,0.18585674910659752
LHAa,HY,3,1,0.48453231894370136,-0.02819459680793412,1,0.6814275822990365,0.8867912551093946,0.18626681590845046
VTA,MB,1,2,0.4616521319443346,-0.12706484599139,1,0.6802310336918383,1.430082987924886,0.30835196770037276
SUMl,HY,1,1,0.4602447757935606,-0.07538924967698478,1,0.8705652030358983,1.5671388840755902,0.7453621408177715
REr,TH,4,2,0.4602447757935604,-0.07538924967698475,1,0.5835121417935151,0.706731087588485,0.2908361132161673
PAA,CTX,3,1,0.4587268728919494,-0.008767210778495588,1,0.8062130452543343,1.4382447944982226,0.5942879093994027
COApl,CTX,3,1,0.3609012246274061,0.03587604142551047,1,0.5946995295876941,0.5405676103886077,0.38742212631848505
PAR,CTX,1,1,0.36086429226344674,0.035711149783742235,1,0.8228816620523594,1.4504335246541291,0.6123682977430512
SI,CNU,2,3,0.2915410604278099,0.13488259469327646,0,0.5991307775450657,0.07059317928404546,0.2167685842548337
EPv,CTX,2,3,0.2883296880235263,0.13664376002122564,0,0.8284410905578022,0.752077167519201,0.27756392422544596
MEApd,CNU,2,3,0.2883296880235263,0.1366437600212257,0,0.5991307775450657,0.0,0.2045004345101847
TM,HY,2,3,0.28832968802352626,0.13664376002122558,0,0.5924121765105878,0.009614507139276437,0.20208191716751497
BSTtr,CNU,3,3,0.28832968802352626,0.13664376002122555,0,0.8062130452543343,0.7853981633974484,0.18797617060361213
BSTif,CNU,2,3,0.28832968802352626,0.13664376002122555,0,0.8412370711222313,0.7853981633974484,0.302566026609431
EPd,CTX,2,3,0.2883296880235262,0.13664376002122544,0,0.7601432420155929,0.6975685379553102,0.18597774943278556
AHNc,HY,3,3,0.2840419216289904,0.13309063749368139,0,0.6814275822990365,0.6155150617999108,0.5473710847167544
LSr.vl,CNU,3,2,0.2522628207311587,-0.18026405644832866,1,0.8062130452543343,1.2165927153099874,0.39126881573082534
BMAp,CTX,3,1,0.20065873861424868,0.1295369788346781,1,0.5946995295876941,0.14251784508276477,0.07759427634070692
