Abbr.,SI,MS,NDB,LSr.m.v,LSr.m.d,LSr.dl,LSc.d,LSv,MEAad,MEApv,MEApd,COApm,COApl,TR,ENTm,ENTl,ILA,PL,ACAv,ACAd,RSPv,RSPv.a,RSPv.b/c,RSPd,RSPagl,ORBv,ORBvl,ORBm,ORBl,MOs,PERI,ECT,TEa,VISp,VISam,VISpm,BMAa,BMAp,BLAa,BLAp,LA,PA,EPv,EPd,CLA,ADP,DMHa,DMHp,DMHv,PH,AHNc,AHNp,PMv,TM,SUMm,SUMl,RCH,LHAa,LHAjvv,LHAsfa,REr,REc,PVT,PT,AV,AD,AMv,AMd,IAM,LD,PR,SMT,RH,CM,VAL,VM,LP,RL,IF,CS,DR,SNc,SNr,VTA,RR,PAGvm,NI,LC
SI,1.0,0.3952847075210475,-0.4436069753671345,0.7637626158259732,-0.40824829046386285,0.37500000000000006,-0.24999999999999994,0.37500000000000006,0.8807048459279793,0.82915619758885,1.0,0.9342616483545746,0.8749999999999998,0.7307692307692308,-0.20044593143431827,-0.044901325506693686,0.30151134457776363,-0.23426064283290912,-0.3212647026585896,-0.3249668418098408,-0.20761369963434995,-1.097135458930219e-17,-0.3518518518518519,-0.2228712470801047,-0.3095238095238096,-0.3273268353539886,-0.23426064283290918,-0.32352941176470595,-0.23426064283290918,-0.20761369963434995,-0.12803687993289598,-0.0633300496381124,-0.25000000000000006,-0.31818181818181823,-0.24687096555050939,-0.3273268353539886,0.9370425713316365,0.6882472016116852,0.43102182834951824,0.4862645390838646,0.7416770790872964,0.8324051132428146,0.741998516004452,0.6246950475544243,-0.3202563076101743,0.37500000000000006,0.6123724356957945,0.6123724356957945,0.6123724356957945,-0.3100868364730211,0.7637626158259732,0.6123724356957945,1.0,0.9684747092264969,-0.11111111111111106,4.9065389333867966e-17,0.7637626158259732,0.7637626158259732,0.8749999999999998,0.7453559924999299,0.519191585255856,0.4728662437434603,0.9223309842157772,0.911322376865767,0.04319342127906792,-0.34299717028501764,0.1561737618886061,-0.178017248729078,-0.2795084971874737,-0.2034970342407606,0.6024144966768741,0.37500000000000006,-0.13878402750067526,0.37500000000000006,0.1561737618886061,0.16666666666666663,-0.28571428571428575,0.36279462192086587,0.31799936400190804,-0.583874208121142,-0.25,0.6022163014102246,0.37500000000000006,0.4267975325947847,0.8364283610093427,-0.23426064283290904,0.4481290797651359,-0.44444444444444436
MS,0.3952847075210475,1.0,0.1002006020070252,0.3450327796711772,1.688099185943042e-16,8.143183184059848e-17,-0.19764235376052358,0.3952847075210475,0.5063696835418333,0.5959141182784952,0.3952847075210475,0.361092690364237,0.2964635306407856,0.12162606385263006,0.3697549864437259,0.21298568784264937,0.11918282365569899,-0.3703985987435963,-0.4402355499610878,-0.4037139009163589,-0.5908789478687516,-0.1875000000000001,-0.3513641844631535,-0.2883194041644337,-0.1505846504842087,-0.3450327796711773,-0.6173309979059937,-0.4185367491399327,-0.6173309979059937,-0.5908789478687516,-0.35427714445327574,-0.1668893343232979,-8.679560519536844e-17,-0.35934973411004323,-0.6133871380250221,-0.3450327796711773,0.49386479832479485,0.45342265631875733,0.3786140830096142,0.3844258722192448,0.35832329778921707,0.34635474918653736,0.586601332759742,0.7407971974871922,-0.25318484177091677,8.143183184059848e-17,0.6454972243679029,0.6454972243679029,0.6454972243679029,0.19611613513818418,0.3450327796711772,0.1613743060919758,0.3952847075210475,0.5326236412913075,0.17568209223157674,0.3913118960624633,0.3450327796711772,0.3450327796711772,0.2964635306407856,0.117851130197758,0.11727342510014278,0.031152799142451632,0.4583333333333334,0.3602317991967706,-0.2390317845598171,-0.5423261445466405,-0.2469323991623974,-0.37529331252040077,-0.44194173824159233,-0.5362617710750642,0.19050019050028577,-0.1976423537605236,-0.2821330476987297,-0.1976423537605236,-0.2469323991623974,1.993806661167015e-17,-0.33881546358946935,0.39712753666024203,0.3352007615769955,-0.06154574548966639,-0.3952847075210474,0.1360267968956273,0.1976423537605238,0.48201867954981187,0.4176345347922785,6.183606346714749e-17,0.5061102063618225,1.1930332249700458e-16
NDB,-0.4436069753671345,0.1002006020070252,1.0,-0.37338291614026003,-0.07761505257063332,-0.2851759127360151,0.1901172751573433,-0.12674485010489558,-0.11162480368379679,-0.057322515260151155,-0.4436069753671345,-0.31576760687854194,-0.5861949317351419,-0.28761331369957077,0.5335152802093557,-0.07967416479199846,-0.22929006104060504,0.5245468310835593,0.2578847616888929,0.24712724192549743,0.13156983619939247,0.1002006020070253,0.34972190121536,0.28504580829348636,0.43153603726190637,0.3180669285639252,0.029691330061333534,0.2273951722470185,0.029691330061333534,0.13156983619939247,0.5030684698047958,0.5966556518731824,0.19011727515734336,0.15555049785600814,-0.05810930083019319,0.3180669285639252,-0.366193070756447,-0.08723178840338681,0.06676975192078614,0.1566467955486727,-0.10705982663392775,-0.5080805320717152,0.07389209982710224,-0.22763353047022372,0.2942835733481918,-0.2851759127360151,-0.3363318944727442,-0.3363318944727442,-0.3363318944727442,-0.2751133672579203,-0.37338291614026003,-0.5950487363748551,-0.4436069753671345,-0.44296443885467196,-0.37319316975330363,-0.3136775004637546,-0.37338291614026003,-0.37338291614026003,-0.5861949317351419,-0.6140552180372304,0.3102229097737469,0.189788977079278,-0.3340020066900843,-0.19800928809100937,0.2135072045157902,0.3695215619405121,0.029691330061333534,0.39860892794380126,0.6376727264232777,0.22639820966991595,0.101803913443102,-0.1267448501048956,0.4070865776470484,-0.1267448501048956,0.029691330061333534,0.2605310807711742,0.5341390111563457,-0.1874665037410606,-0.14106673603355882,0.4193506109344297,-0.25348970020979117,-0.23988741810931397,0.031686212526223896,-0.22796921202414658,-0.2734019144600536,0.2276335304702239,-0.3002182803673781,-0.049289663929681635
LSr.m.v,0.7637626158259732,0.3450327796711772,-0.37338291614026003,1.0,-0.08908708063747468,0.7637626158259732,0.21821789023599247,0.7637626158259732,0.628970902033151,0.592156525463792,0.7637626158259732,0.8154904233293434,0.8728715609439696,0.7889416031608955,-0.554051251343814,0.03919309008348105,0.06579516949597684,-0.3067191794659486,-0.4206342337287049,-0.42548147169838163,-0.27183014110978115,-0.1725163898355886,-0.46068221272042836,-0.3802333115053919,-0.40526179615255725,-0.4285714285714285,-0.3067191794659487,-0.4235994339875146,-0.3067191794659487,-0.27183014110978115,-0.30733931592491187,-0.2671818298643447,-0.32732683535398854,-0.4165977904505309,-0.32322996757772704,-0.4285714285714285,0.7156780854205469,0.6508140266182866,0.355325212995014,0.6808829066491902,0.8362105717465858,0.9464696355640229,0.5088831022651474,0.647518267761447,-0.4193139346887673,0.7637626158259732,0.8017837257372732,0.8017837257372732,0.8017837257372732,-0.13533299049019168,1.0,0.8017837257372732,0.7637626158259732,0.7167132003459626,0.21821789023599236,0.15430334996209194,1.0,1.0,0.8728715609439696,0.8132500607904443,0.1402723429253879,0.10318787407351647,0.6900655593423541,0.6250100886998496,-0.22621385432622337,-0.5426488617097118,0.03407990882954987,-0.36256778547056945,-0.48795003647426655,-0.36512170195735777,0.2629152410248094,0.2182178902359924,-0.39803350093255985,0.2182178902359924,0.03407990882954987,-0.024246432248443608,-0.3740878118331298,0.5968070111141933,0.5320141523681087,-0.25482359571881275,-0.2182178902359924,0.8510644963469901,0.21821789023599236,0.6253340406679675,0.7108815151685565,-0.3067191794659486,0.5867386940384682,-0.2182178902359923
LSr.m.d,-0.40824829046386285,1.688099185943042e-16,-0.07761505257063332,-0.08908708063747468,1.0,0.10206207261596587,0.6123724356957946,0.10206207261596582,-0.5229763603684906,-0.49236596391733084,-0.40824829046386285,-0.2542738138578038,-0.10206207261596564,-0.06280742930213268,0.08183170883849716,0.4766031238193982,-0.7385489458759965,-0.382546027838003,-0.5246230625870019,-0.5306686305052325,-0.3390317518104052,-0.6454972243679028,-0.5745716680602516,-0.6948083337796512,-0.5054502643838304,-0.5345224838248487,-0.38254602783800307,-0.5283213170708816,-0.38254602783800307,-0.3390317518104052,-0.20908334939572665,-0.7066865096598595,-0.4082482904638631,-0.5195887333176439,-0.4031385986046347,-0.5345224838248487,-0.3825460278380029,-0.2809757434745081,-0.2737216604520212,-0.19851666679418598,-0.1345726220504978,-0.07154272935889618,-0.5192907868894986,-0.25503068522533534,-0.5229763603684908,0.10206207261596587,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.7595545253127499,-0.08908708063747471,0.16666666666666669,-0.40824829046386285,-0.30942637387763805,0.7257747386024231,0.7216878364870322,-0.08908708063747471,-0.08908708063747471,-0.10206207261596564,1.0134903240813527e-16,-0.6661570994694825,-0.6756639246921762,-0.3227486121839513,-0.37204580241691354,-0.7229792562550632,-0.5601120336112039,0.25503068522533534,-0.048450158311150925,-0.45643546458763845,-0.5169255239135973,-0.5738476063109588,0.10206207261596587,-0.7122762990619939,0.10206207261596587,0.25503068522533534,-0.18144368465060576,-0.46656947481584343,0.47851014891726423,0.5192907868894986,0.47673129462279606,0.6123724356957945,0.16390251702679645,0.10206207261596582,0.44804407642975475,-0.07188851546895891,0.5738190417570045,-0.31362502409359005,0.8618575020903776
LSr.dl,0.37500000000000006,8.143183184059848e-17,-0.2851759127360151,0.7637626158259732,0.10206207261596587,1.0,0.37500000000000017,0.37500000000000017,0.28022426915890253,0.07537783614444087,0.3750000000000001,0.5190342490858748,0.5625,0.7307692307692308,-0.5345224838248487,0.40411192956024355,-0.07537783614444094,-0.23426064283290912,-0.3212647026585896,-0.32496684180984087,-0.20761369963434995,-0.3952847075210475,-0.35185185185185197,-0.42548147169838174,-0.3095238095238096,-0.3273268353539886,-0.23426064283290918,-0.32352941176470595,-0.23426064283290918,-0.20761369963434995,-0.288082979849016,-0.37998029782867426,-0.25000000000000006,-0.31818181818181823,-0.24687096555050939,-0.3273268353539886,0.15617376188860604,0.401477534273483,0.19156525704423039,0.5875696513930032,0.6386663736585051,0.613351136073653,0.07949984100047698,0.23426064283290904,-0.3202563076101743,1.0,0.6123724356957946,0.6123724356957946,0.6123724356957946,5.163983182282858e-17,0.7637626158259732,0.6123724356957946,0.3750000000000001,0.33686076842660756,0.4444444444444445,0.35355339059327384,0.7637626158259732,0.7637626158259732,0.5625,0.7453559924999299,-0.09889363528682982,-0.1182165609358651,0.1317615691736825,0.2603778219616477,-0.49672434470928206,-0.4501837859990857,0.1561737618886061,-0.32636495600330967,-0.2795084971874738,-0.20349703424076057,-0.10040241611281228,0.3750000000000001,-0.5353098203597474,0.3750000000000001,0.1561737618886061,-0.3888888888888888,-0.28571428571428575,0.6418674080138398,0.582998834003498,3.241152946704363e-17,5.551115123125783e-17,0.7456011350793258,-0.24999999999999997,0.5792252228072079,0.3962029078465308,-0.23426064283290904,0.44812907976513594,0.11111111111111117
LSc.d,-0.24999999999999994,-0.19764235376052358,0.1901172751573433,0.21821789023599247,0.6123724356957946,0.37500000000000017,1.0,0.3750000000000001,-0.32025630761017426,-0.3015113445777636,-0.24999999999999994,2.881218869520834e-17,-0.06249999999999994,0.34615384615384615,-0.20044593143431824,0.17960530202677485,-0.45226701686664555,-0.23426064283290912,-0.3212647026585896,-0.3249668418098408,-0.20761369963434995,-0.3952847075210475,-0.3518518518518519,-0.42548147169838163,-0.3095238095238096,-0.3273268353539886,-0.23426064283290918,-0.32352941176470595,-0.23426064283290918,-0.20761369963434995,0.1920553198993439,-0.3799802978286742,-0.25000000000000006,-0.31818181818181823,-0.24687096555050939,-0.3273268353539886,-0.23426064283290904,-0.1720618004029213,-0.28734788556634533,0.1823492021564492,0.22662355194334055,0.06571619315074854,-0.31799936400190804,-0.15617376188860607,-0.3202563076101743,0.3750000000000001,0.1020620726159658,0.1020620726159658,0.1020620726159658,8.606638637138095e-17,0.21821789023599236,0.10206207261596577,-0.24999999999999994,-0.29475317237328164,0.16666666666666666,0.17677669529663692,0.21821789023599236,0.21821789023599236,-0.06249999999999994,2.0687784610393942e-17,-0.22251067939536695,-0.11821656093586512,-0.13176156917368242,-0.06509445549041191,-0.28075723831394206,-0.12862393885688167,0.5466081666101211,0.4153735803678486,-4.6547515373386365e-17,-0.2034970342407606,-0.10040241611281231,0.3750000000000001,-0.23791547571544325,0.3750000000000001,0.5466081666101211,0.16666666666666669,-0.28571428571428575,0.5023310149673528,0.582998834003498,0.5838742081211422,0.25,0.6022163014102246,0.3750000000000001,0.4267975325947847,0.17609018126512477,0.5466081666101211,-0.19205531989934396,0.38888888888888895
LSv,0.37500000000000006,0.3952847075210475,-0.12674485010489558,0.7637626158259732,0.10206207261596582,0.37500000000000017,0.3750000000000001,1.0,0.28022426915890253,0.4522670168666454,0.37500000000000006,0.41522739926869984,0.5625,0.34615384615384615,-0.5345224838248486,-0.2694079530401623,-0.07537783614444094,-0.23426064283290912,-0.3212647026585896,-0.3249668418098408,-0.20761369963434995,-1.097135458930219e-17,-0.3518518518518519,-0.2228712470801047,-0.3095238095238096,-0.3273268353539886,-0.23426064283290918,-0.32352941176470595,-0.23426064283290918,-0.20761369963434995,-0.28808297984901593,-0.16888013236829968,-0.25000000000000006,-0.31818181818181823,-0.24687096555050939,-0.3273268353539886,0.5466081666101211,0.40147753427348304,0.19156525704423033,0.4862645390838646,0.5356556682297141,0.7228781246582338,0.344499311002067,0.6246950475544243,-0.3202563076101743,0.37500000000000006,0.6123724356957945,0.6123724356957945,0.6123724356957945,5.163983182282857e-17,0.7637626158259732,0.6123724356957945,0.37500000000000006,0.33686076842660767,0.16666666666666666,4.9065389333867966e-17,0.7637626158259732,0.7637626158259732,0.5625,0.37267799624996495,-0.09889363528682973,-0.11821656093586512,0.5270462766947298,0.26037782196164777,-0.06479013191860204,-0.4501837859990857,-0.23426064283290904,-0.3263649560033097,-0.5590169943749473,-0.42960485006382787,0.10040241611281236,-0.24999999999999997,-0.23791547571544325,-0.24999999999999997,-0.23426064283290904,0.16666666666666663,-0.28571428571428575,0.36279462192086587,0.31799936400190804,-2.160768631136242e-17,-0.25,0.6022163014102246,0.37500000000000006,0.4267975325947847,0.3962029078465307,-0.23426064283290904,0.4481290797651359,-0.16666666666666657
MEAad,0.8807048459279793,0.5063696835418333,-0.11162480368379679,0.628970902033151,-0.5229763603684906,0.28022426915890253,-0.32025630761017426,0.28022426915890253,1.0,0.9414688716912718,0.8807048459279793,0.8976095575314934,0.7205766921228921,0.5666073134641545,-0.04279604925109131,-0.12941939442218645,0.38624363966821407,-0.05001563232803552,-0.1371827299185605,-0.11894020669001054,-0.2659583874167388,0.12659242088545833,-0.094890757810422,-0.025954880968126932,0.06100120144955702,-0.06988565578146119,-0.30009379396821323,-0.13187024431007172,-0.30009379396821323,-0.2659583874167388,-0.1640184736209459,0.18929724667346193,0.08006407690254361,-0.11645683913097246,-0.3162479355334587,-0.06988565578146119,0.8252579334125864,0.8816620300447741,0.7055247917048599,0.6553607444452058,0.7851579103256668,0.6804881535865359,0.9505188199512584,0.6752110364284797,-0.025641025641025616,0.28022426915890253,0.4576043153224294,0.4576043153224294,0.4576043153224294,-0.3972290611494787,0.628970902033151,0.4576043153224294,0.8807048459279793,0.8360838405314928,-0.2312962221629036,-0.11322770341445956,0.628970902033151,0.628970902033151,0.7205766921228921,0.5967623950328608,0.7442757963530224,0.5426542566862709,0.801751998941236,0.8547233084114206,0.12449669050696546,-0.2334248904619631,0.07502344849205334,-0.13302600912742518,-0.08951435925492904,-0.04344747253037812,0.5787811270697318,0.28022426915890253,-0.019048482943986467,0.28022426915890253,0.07502344849205334,0.03558403417890822,-0.02287545054358385,0.19662460406296353,0.15276195320645222,-0.49863839467117715,-0.24019223070763068,0.45001499450202004,0.2802242691589025,0.20502690282890804,0.648530899471314,-0.30009379396821323,0.36904156564712837,-0.4803844614152614
MEApv,0.82915619758885,0.5959141182784952,-0.057322515260151155,0.592156525463792,-0.49236596391733084,0.07537783614444087,-0.3015113445777636,0.4522670168666454,0.9414688716912718,1.0,0.82915619758885,0.8137725144837183,0.6784005252999681,0.41747724633844185,-0.04029114820126903,-0.3249182166443294,0.3636363636363636,-0.047088160934801095,-0.12915326995195567,-0.11197850219117086,-0.25039154291806714,0.23836564731139806,-0.08933669468970772,0.03665356874991562,0.05743073230052642,-0.06579516949597687,-0.28252896560880664,-0.12415173012025557,-0.28252896560880664,-0.25039154291806714,-0.15441828729643656,0.24186655996847442,0.07537783614444095,-0.1096404889373686,-0.2977375870413794,-0.06579516949597687,0.894675057761221,0.8300573566392894,0.664229629596594,0.5864570999986501,0.7081428356340436,0.6736820437520833,0.9747842274534045,0.7534105749568178,-0.024140227479263355,0.07537783614444087,0.4308202184276646,0.4308202184276646,0.4308202184276646,-0.37397879600338285,0.592156525463792,0.4308202184276646,0.82915619758885,0.7871469099844898,-0.30151134457776363,-0.21320071635561041,0.592156525463792,0.592156525463792,0.6784005252999681,0.4494665749754947,0.7007124942196027,0.5108920907608892,0.8740073734751262,0.8046953887783311,0.24744282400854598,-0.2197622682478831,-0.04708816093480111,-0.12523984671878988,-0.1685499656158105,-0.10907851450936697,0.6054493496206034,0.07537783614444087,0.07173421497882153,0.07537783614444087,-0.04708816093480111,0.2010075630518424,-0.021536524612697377,0.10097233316394613,0.06392027721005929,-0.46945252681302013,-0.3015113445777637,0.380442955126341,0.4522670168666454,0.14706776904585755,0.6105716541821836,-0.2825289656088066,0.3474411464169823,-0.5360201681382465
