Abbr.,MS,NDB,LSr.m.v,LSr.m.d,MEAad,MEApv,COApm,COApl,TR,ENTm,ENTl,ILA,ACAv,ACAd,RSPv.a,RSPv.b/c,RSPd,RSPagl,ORBv,ORBm,PERI,ECT,VISp,VISpm,BMAp,BLAa,BLAp,LA,PA,EPv,EPd,CLA,DMHa,DMHp,DMHv,PH,AHNc,AHNp,TM,SUMm,SUMl,RCH,LHAa,LHAjvv,LHAsfa,REr,REc,PVT,PT,AV,AD,AMd,IAM,LD,PR,RH,VM,LP,RL,IF,CS,DR,SNc,VTA,RR,NI,LC
MS,1.0,0.2821473478033284,0.4129869271286951,0.1456928793535898,0.5454403359688914,0.615459050673977,0.4449730899224085,0.38360011614950146,0.24903739748186646,0.5074854087392977,0.38850036764078155,0.2525027874308424,-0.24162602504575156,-0.21012873133962467,-0.012047740128091317,-0.1588617862865485,-0.0882760306930003,-0.0041231279413947025,-0.1606394577872752,-0.22288894165881784,-0.13758436182114558,0.023684699966243505,-0.17528373109622333,-0.1606394577872752,0.5282676149626153,0.4763613096049888,0.49180166246617474,0.4677388335900445,0.42434505523377275,0.6116517045056677,0.7741372171457785,-0.0863492105078648,0.67838009074738,0.67838009074738,0.67838009074738,0.28468593185425056,0.4129869271286951,0.2788646822020373,0.6179442964242674,0.2866586509752876,0.5035163020003461,0.4129869271286951,0.4129869271286951,0.38360011614950146,0.23523296729118898,0.2834225780684883,0.21339046037186746,0.49053849471984007,0.4395544752820776,-0.01653514096962902,-0.2704436686479283,-0.14929472010394323,-0.18837238290130984,-0.29157804773947466,0.33195119037419074,-0.047634358666208326,0.14142777034059592,-0.16839342444416283,0.48438626950391606,0.43396842456247053,0.12492392403462593,-0.10759275521133813,0.2565507321139956,0.5718825346136786,0.5026266442538754,0.6023624674898469,0.21452170956004477
NDB,0.2821473478033284,1.0,-0.19708699756379539,0.07348982478993331,0.02349125356767834,0.06454162301818074,-0.12555737934456562,-0.36392338219943365,-0.10009846590782093,0.628681440339809,0.15143599648877049,-0.044976521753216966,0.33804319845256436,0.3297732567392803,0.22073047312855448,0.42284188462711636,0.3820380497115967,0.4830802437470918,0.39062554391550997,0.3126543466741012,0.5686283652265288,0.6516201792718592,0.2502393965303521,0.39062554391550997,0.07537057208597282,0.2148467979114558,0.3009479596615073,0.0799000456227463,-0.298580913381965,0.18071688524386698,-0.0270512050694951,0.3687643863723463,-0.14449346376717864,-0.14449346376717864,-0.14449346376717864,-0.11853428263150136,-0.19708699756379539,-0.36247675232429055,-0.18250451153970837,-0.18027492199712994,-0.0775982021709135,-0.19708699756379539,-0.19708699756379539,-0.36392338219943365,-0.3881365521023231,0.4339930626630263,0.33489190769311145,-0.18342020897151035,-0.03197201017952633,0.34562437531710016,0.47008764747376325,0.4846963941217225,0.6927282742856805,0.3334267417214036,0.25309761818023474,0.5078961678709406,0.3547902390869372,0.5649687989096784,-0.005699079820619887,0.03358414603223541,0.5139003993348045,-0.00725020055812238,-0.06477703513062412,-0.014676442300602652,-0.07574488734018472,-0.05540121163888356,0.1653839490305022
LSr.m.v,0.4129869271286951,-0.19708699756379539,1.0,0.0053534731705972075,0.6563654129938624,0.620894089394481,0.8303222588169343,0.8828714030017963,0.8061287093382306,-0.3211820189958109,0.16441024877944121,0.1514084497379484,-0.31547567529652865,-0.3191111037737862,-0.07277344066946165,-0.34551165954032126,-0.2570031751380934,-0.3039463471144179,-0.3214285714285714,-0.31769957549063593,-0.18698507295475947,-0.1450862460373254,-0.3124483428378982,-0.3214285714285714,0.6809897074163299,0.416976226103472,0.7064918429601315,0.8444199761233098,0.9504148388353612,0.5449616428844057,0.6780887905509606,-0.3144854510165755,0.8178441452490647,0.8178441452490647,0.8178441452490647,-0.05338722043517493,1.0,0.8178441452490647,0.7356363541827373,0.28375953303080964,0.24616481115905672,1.0,1.0,0.8828714030017963,0.8281554358288256,0.23430370206762152,0.20174490639858914,0.7090818889274841,0.6560747288412261,-0.0942825546002266,-0.38085122760781803,-0.2326421290370078,-0.33194183648371134,-0.24253006191376086,0.3376743025058612,-0.24251128633089228,0.061879252716210885,-0.2805658588748473,0.6324105760742882,0.5740456247795828,-0.12178017226095592,-0.06160134506102851,0.8628349320153673,0.6574274257035468,0.7352337305927863,0.620632800157505,-0.05278022703380829
LSr.m.d,0.1456928793535898,0.07348982478993331,0.0053534731705972075,1.0,-0.392232270276368,-0.36927447293799814,-0.12757082635883968,0.0025103870422352667,0.04574209711192642,0.21663238861326856,0.5328425328695772,-0.5539117094069974,-0.3934672969402514,-0.3980014728789244,-0.4841229182759271,-0.4309287510451887,-0.5211062503347385,-0.3790876982878728,-0.40089186286863654,-0.3962409878031612,-0.08143467590235408,-0.5180420536796302,-0.3896915499882329,-0.40089186286863654,-0.143916497127775,-0.12709834006761284,-0.04912663953718672,0.0036007847130129778,0.02967628631416119,-0.3894680901671239,-0.10793968058566819,-0.3922322702763681,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.7779992273178957,0.00535347317059718,0.25000000000000006,-0.13675817395035061,0.7523436275362783,0.7510524752848425,0.00535347317059718,0.00535347317059718,0.0025103870422352667,0.09449111825230688,-0.44371612516461717,-0.45290108162280174,-0.2236312146186013,-0.23847899652999452,-0.5095948816996041,-0.37481615218714365,0.06572445388260258,-0.28340103334184985,-0.36057783570786595,-0.3796915106298558,-0.4953996980111788,-0.06674523895980067,-0.3499271061118826,0.5349333215956802,0.5713698089443737,0.53769264399782,0.6537336915981464,0.24667057447774318,0.5140503060513941,0.04608361339828082,-0.13096156104165516,0.8544530564587391
MEAad,0.5454403359688914,0.02349125356767834,0.6563654129938624,-0.392232270276368,1.0,0.9454584307075384,0.9047248077351172,0.7426924778311418,0.6031121911527174,0.09333926456274512,0.027579834686089197,0.4404384020400423,-0.05429409436393415,-0.036718766909360115,0.19947456691498008,-0.009905293311801705,0.0637588771315527,0.12764356465205987,0.009131503653570482,-0.048958146366651786,-0.05873142056238692,0.26449848509712603,-0.03563386034872743,0.009131503653570482,0.8891676754528565,0.7291929947921191,0.682942340751733,0.7983561225509467,0.7058001051825449,0.9540981906256547,0.7018422673140027,0.04895104895104897,0.5031037737585299,0.5031037737585299,0.5031037737585299,-0.29792179586210904,0.6563654129938624,0.5031037737585299,0.838396109246385,-0.1291237369229965,0.011413551887711884,0.6563654129938624,0.6563654129938624,0.7426924778311418,0.628881963180356,0.7584339910063411,0.5830202653049584,0.813498431249329,0.8658496820650398,0.21399133097181997,-0.10751066715428131,-0.027237150197361434,0.0208050393939843,0.048351421363220445,0.6156608920671435,0.08913604284224376,0.11538488503254357,0.045561562842843906,0.27030744839456083,0.2309161951537185,-0.3398393589034369,-0.08215298604294984,0.49580470177984093,0.2866070944561111,0.6782788193235348,0.4323751528013818,-0.27157129386614626
MEApv,0.615459050673977,0.06454162301818074,0.620894089394481,-0.36927447293799814,0.9454584307075384,1.0,0.8268357368088985,0.702449561285347,0.4647275434696121,0.08987775420286362,-0.13457971736525082,0.41706484002467914,-0.05034074194404319,-0.033731985880417543,0.2988703508373639,-0.00834787949184767,0.11713232226251626,0.12147930524879233,0.009579187976896324,-0.045295544110441295,-0.05426796998266104,0.30848497661479424,-0.03272298955419273,0.009579187976896324,0.8407609077154594,0.689704941618164,0.6190425084230331,0.7274088900502218,0.6980454477553311,0.9764620349956444,0.769182076449545,0.04717395037393918,0.4762082727446971,0.4762082727446971,0.4762082727446971,-0.2804840970025371,0.620894089394481,0.4762082727446971,0.7926963445568918,-0.19782658257970784,-0.0808435957624983,0.620894089394481,0.620894089394481,0.702449561285347,0.4914032811937129,0.7172372657915103,0.5517045528268247,0.8812290046421619,0.818758049606818,0.31883256572866603,-0.10013983997738718,-0.02448544059464796,-0.054243690563154666,-0.015387769466518063,0.636210211311896,0.16470240507589975,0.2639833757033414,0.04389566421738466,0.18027092457082297,0.1469549622052119,-0.3194033725867344,-0.13953096805487886,0.42966978364216224,0.23142622256227047,0.6416404713453762,0.4095507526955178,-0.3236088700802874
COApm,0.4449730899224085,-0.12555737934456562,0.8303222588169343,-0.12757082635883968,0.9047248077351172,0.8268357368088985,1.0,0.8933614223969686,0.8479378409482885,-0.02778623655062097,0.15523540855736118,0.27477381431998416,-0.27045188205800025,-0.2642784846633214,-0.019236939469759178,-0.27085993524974017,-0.19816851309501204,-0.16881266561612773,-0.24266954893379095,-0.2694377951568252,-0.012118708815134875,0.0022988879536072065,-0.25860979253297595,-0.24266954893379095,0.8300096425576249,0.6071697325737683,0.7103542215662377,0.9145017186712521,0.8685326758621317,0.7883982495800921,0.6313340396745255,-0.21703120128414652,0.6343827763546963,0.6343827763546963,0.6343827763546963,-0.19809003969599848,0.8303222588169343,0.71057813662605,0.8828775927720124,0.056451636613193815,0.18097215583989432,0.8303222588169343,0.8303222588169343,0.8933614223969686,0.8230458692177672,0.6254193424605943,0.5249191012376553,0.859803689286994,0.9268486901698128,0.04484458434765668,-0.240792242965233,0.04422342419905574,-0.08480366525527183,-0.09777691103754188,0.6032263511191216,-0.08918569293483158,0.18127092948088852,-0.1927271676675948,0.5222406546101671,0.501603707351541,-0.27471525170523625,0.0734301758239807,0.7858439054440756,0.5435869273430982,0.8579224840541907,0.4077449857410222,-0.11611262234751936
COApl,0.38360011614950146,-0.36392338219943365,0.8828714030017963,0.0025103870422352667,0.7426924778311418,0.702449561285347,0.8933614223969686,1.0,0.7391809229839924,-0.2370818733032825,0.09210578929040683,0.16833677598332009,-0.3614227904909132,-0.36558769703607086,-0.08621439802578859,-0.39583333333333326,-0.2958483172045532,-0.3482142857142857,-0.36824268977323704,-0.36397058823529405,-0.21640293539931826,-0.16899317665661903,-0.3579545454545454,-0.36824268977323704,0.7704894149916235,0.5764329728375664,0.6223622795434678,0.8207780544644555,0.9770475779262846,0.6161345637026066,0.5944223218007464,-0.360288346061446,0.6951949577633567,0.6951949577633567,0.6951949577633567,0.07905694150420954,0.8828714030017963,0.9260898146703972,0.8328328622565776,0.31905870289605437,0.2754694231348298,0.8828714030017963,0.8828714030017963,1.0,0.937816964835563,0.31537543359570025,0.22488540345784885,0.8027406431356416,0.7422249282129292,-0.11179811337132899,-0.4376318616405024,-0.26849703698469296,-0.381994946156214,-0.2794248774260041,0.379802189066601,-0.28064340963172263,0.06687246859736959,-0.3214285714285714,0.46544692091189216,0.41176748102102434,-0.3999279298252191,0.1341640786499874,0.7174315191837449,0.5440907799570058,0.7338185917063189,0.4289211832105447,-0.0660335504731625
TR,0.24903739748186646,-0.10009846590782093,0.8061287093382306,0.04574209711192642,0.6031121911527174,0.4647275434696121,0.8479378409482885,0.7391809229839924,1.0,-0.03771578859058945,0.34364979151846986,0.14968289928046066,-0.40775904568205595,-0.4124579146047979,-0.2828505655766922,-0.4207670783149501,-0.37258254446277606,-0.3928571428571429,-0.4154532910262163,-0.410633484162896,0.22200347491473924,-0.18418547393164295,-0.40384615384615385,-0.4154532910262163,0.5178256842507555,0.305452285286194,0.6652956153002958,0.8456064548249069,0.744695428188113,0.4135134610703861,0.36197668380742426,-0.4064791596590674,0.6096454859664482,0.6096454859664482,0.6096454859664482,-0.21950552950639302,0.8061287093382306,0.6096454859664482,0.7057400673878946,0.12223600975569014,0.27221614768877733,0.8061287093382306,0.8061287093382306,0.7391809229839924,0.7695757162780263,0.4298390263280949,0.507352940109259,0.6340630848602152,0.8117582701333217,-0.10143484432949089,-0.18654065538203457,0.20851148103554557,0.044920066493685115,-0.1717708718530736,0.582159912026084,-0.11678079273020187,0.27619244809204857,-0.3626373626373627,0.694765542746384,0.6980149702567884,-0.1129051477936567,0.015921817475107194,0.9179810192052275,0.7334775804845457,0.8873778280059619,0.3640027201631484,-0.01072475005582356
ENTm,0.5074854087392977,0.628681440339809,-0.3211820189958109,0.21663238861326856,0.09333926456274512,0.08987775420286362,-0.02778623655062097,-0.2370818733032825,-0.03771578859058945,1.0,0.47996382800728477,0.02935785854052586,-0.011457489102476112,-0.006934376432650977,-0.06667277204173967,0.06838828364905725,0.05332363317629389,0.13032301241496394,0.03518156883769387,-0.018187697879004358,0.4902949819697536,0.26105117893784274,-0.03082974813762271,0.03518156883769387,-0.01244205807919839,0.14158881357213823,0.043365839858400784,-0.024624685817837624,-0.29061374583128496,0.15067727202351458,-0.008744060805343581,0.04973362668148416,-0.004289894744489611,-0.004289894744489611,-0.004289894744489611,0.19289973485447853,-0.321182018995811,-0.33567331978112686,0.1412642327597139,0.013487337428577412,0.3442845507951935,-0.321182018995811,-0.321182018995811,-0.23708187330328254,-0.2623215429178328,0.36818519258509363,0.3700368105998646,-0.004439168746972477,0.17456228221831896,0.11862642585389241,0.23207874994923075,0.4321480077970281,0.47658802480918383,0.047420560132568075,0.35453866193304195,0.2881848573550365,0.3747603044801291,0.12574852685525495,0.15762173685470565,0.19834886231051455,0.263828784677021,0.10778960786730174,-0.17409788384824426,0.23285165732467075,0.18434699506751942,-0.05297828937399594,0.34848561830484914
